t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1621477378,8,0.259810,0.000000,0.000000,0.000000,events/second
1621477408,9,0.150023,0.000000,0.000000,0.000000,events/second
1621477438,10,0.111132,0.000000,0.000000,0.000000,events/second
1621477468,10,0.083339,0.000000,0.000000,0.000000,events/second
1621477498,10,0.066676,0.000000,0.000000,0.000000,events/second
1621477528,10,0.055553,0.000000,0.000000,0.000000,events/second
1621477558,10,0.047538,0.000000,0.000000,0.000000,events/second
1621477588,10,0.041653,0.000000,0.000000,0.000000,events/second
1621477618,10,0.037029,0.000000,0.000000,0.000000,events/second
1621477648,10,0.033330,0.000000,0.000000,0.000000,events/second
1621477678,10,0.030302,0.000000,0.000000,0.000000,events/second
1621477708,10,0.027776,0.000000,0.000000,0.000000,events/second
1621477738,10,0.025641,0.000000,0.000000,0.000000,events/second
1621477768,10,0.023808,0.000000,0.000000,0.000000,events/second
1621477798,10,0.022222,0.000000,0.000000,0.000000,events/second
1621477828,10,0.020833,0.000000,0.000000,0.000000,events/second
1621477858,10,0.019608,0.000000,0.000000,0.000000,events/second
1621477888,10,0.018519,0.000000,0.000000,0.000000,events/second
1621477918,10,0.017544,0.000000,0.000000,0.000000,events/second
1621477948,10,0.016667,0.000000,0.000000,0.000000,events/second
1621477978,10,0.015873,0.000000,0.000000,0.000000,events/second
1621478008,10,0.015152,0.000000,0.000000,0.000000,events/second
1621478038,10,0.014493,0.000000,0.000000,0.000000,events/second
1621478068,10,0.013889,0.000000,0.000000,0.000000,events/second
1621478098,10,0.013334,0.000000,0.000000,0.000000,events/second
1621478128,12,0.015385,0.000000,0.000000,0.000000,events/second
1621478158,12,0.014815,0.000000,0.000000,0.000000,events/second
1621478188,12,0.014286,0.000000,0.000000,0.000000,events/second
1621478218,12,0.013793,0.000000,0.000000,0.000000,events/second
1621478248,12,0.013334,0.000000,0.000000,0.000000,events/second
1621478278,14,0.015054,0.000000,0.000000,0.000000,events/second
1621478308,16,0.016667,0.000000,0.000000,0.000000,events/second
1621478338,16,0.016162,0.000000,0.000000,0.000000,events/second
1621478368,17,0.016667,0.000000,0.000000,0.000000,events/second
1621478398,17,0.016190,0.000000,0.000000,0.000000,events/second
1621478428,18,0.016667,0.000000,0.000000,0.000000,events/second
1621478458,19,0.017117,0.000000,0.000000,0.000000,events/second
1621478488,19,0.016667,0.000000,0.000000,0.000000,events/second
1621478518,20,0.017094,0.000000,0.000000,0.000000,events/second
1621478548,20,0.016667,0.000000,0.000000,0.000000,events/second
1621478578,21,0.017073,0.000000,0.000000,0.000000,events/second
1621478608,22,0.017461,0.000000,0.000000,0.000000,events/second
1621478638,23,0.017830,0.000000,0.000000,0.000000,events/second
1621478668,23,0.017424,0.000000,0.000000,0.000000,events/second
1621478698,23,0.017037,0.000000,0.000000,0.000000,events/second
1621478728,23,0.016667,0.000000,0.000000,0.000000,events/second
1621478758,23,0.016312,0.000000,0.000000,0.000000,events/second
1621478788,23,0.015972,0.000000,0.000000,0.000000,events/second
1621478818,23,0.015646,0.000000,0.000000,0.000000,events/second
1621478848,23,0.015334,0.000000,0.000000,0.000000,events/second
1621478878,23,0.015033,0.000000,0.000000,0.000000,events/second
1621478908,25,0.016026,0.000000,0.000000,0.000000,events/second
1621478938,26,0.016352,0.000000,0.000000,0.000000,events/second
1621478968,27,0.016667,0.000000,0.000000,0.000000,events/second
1621478998,28,0.016970,0.000000,0.000000,0.000000,events/second
1621479028,29,0.017262,0.000000,0.000000,0.000000,events/second
1621479058,29,0.016959,0.000000,0.000000,0.000000,events/second
1621479088,29,0.016667,0.000000,0.000000,0.000000,events/second
1621479118,29,0.016384,0.000000,0.000000,0.000000,events/second
1621479148,45,0.025000,0.000000,0.000000,0.000000,events/second
1621479178,60,0.032787,0.000000,0.000000,0.000000,events/second
1621479208,63,0.033871,0.000000,0.000000,0.000000,events/second
1621519414,7,0.228193,0.000000,0.000000,0.000000,events/second
1621519444,7,0.116342,0.000000,0.000000,0.000000,events/second
1621519474,8,0.088942,0.000000,0.000000,0.000000,events/second
1621519504,8,0.066631,0.000000,0.000000,0.000000,events/second
1621519534,23,0.153377,0.000000,0.000000,0.000000,events/second
1621519564,27,0.150039,0.000000,0.000000,0.000000,events/second
1621519594,33,0.157180,0.000000,0.000000,0.000000,events/second
1621519624,37,0.154193,0.000000,0.000000,0.000000,events/second
1621519654,44,0.162993,0.000000,0.000000,0.000000,events/second
1621519684,48,0.160027,0.000000,0.000000,0.000000,events/second
1621519714,54,0.163661,0.000000,0.000000,0.000000,events/second
1621519744,57,0.158353,0.000000,0.000000,0.000000,events/second
1621519774,64,0.164126,0.000000,0.000000,0.000000,events/second
1621519804,67,0.159542,0.000000,0.000000,0.000000,events/second
1621519834,73,0.162238,0.000000,0.000000,0.000000,events/second
1621519864,79,0.164600,0.000000,0.000000,0.000000,events/second
1621519894,85,0.166681,0.000000,0.000000,0.000000,events/second
1621519924,89,0.164831,0.000000,0.000000,0.000000,events/second
1621519954,101,0.177209,0.000000,0.000000,0.000000,events/second
1621519984,110,0.183347,0.000000,0.000000,0.000000,events/second
1621520014,120,0.190492,0.000000,0.000000,0.000000,events/second
1621520044,123,0.186376,0.000000,0.000000,0.000000,events/second
1621520074,129,0.186969,0.000000,0.000000,0.000000,events/second
1621520104,135,0.187512,0.000000,0.000000,0.000000,events/second
1621520134,146,0.194681,0.000000,0.000000,0.000000,events/second
1621520164,149,0.191038,0.000000,0.000000,0.000000,events/second
1621520194,158,0.195072,0.000000,0.000000,0.000000,events/second
1621520224,161,0.191678,0.000000,0.000000,0.000000,events/second
1621520254,170,0.195415,0.000000,0.000000,0.000000,events/second
1621520284,182,0.202233,0.000000,0.000000,0.000000,events/second
1621520314,194,0.208613,0.000000,0.000000,0.000000,events/second
1621520344,200,0.208345,0.000000,0.000000,0.000000,events/second
1621520374,206,0.208092,0.000000,0.000000,0.000000,events/second
1621520404,209,0.204911,0.000000,0.000000,0.000000,events/second
