t,value
1621477378,0
1621477408,0
1621477438,0
1621477468,0
1621477498,0
1621477528,0
1621477558,0
1621477588,0
1621477618,0
1621477648,0
1621477678,0
1621477708,0
1621477738,0
1621477768,0
1621477798,0
1621477828,0
1621477858,0
1621477888,0
1621477918,0
1621477948,0
1621477978,0
1621478008,0
1621478038,0
1621478068,0
1621478098,0
1621478128,0
1621478158,0
1621478188,0
1621478218,0
1621478248,0
1621478278,0
1621478308,0
1621478338,0
1621478368,0
1621478398,0
1621478428,0
1621478458,0
1621478488,0
1621478518,0
1621478548,0
1621478578,0
1621478608,0
1621478638,0
1621478668,0
1621478698,0
1621478728,0
1621478758,0
1621478788,0
1621478818,0
1621478848,0
1621478878,0
1621478908,0
1621478938,0
1621478968,0
1621478998,0
1621479028,0
1621479058,0
1621479088,0
1621479118,0
1621479148,6
1621479178,6
1621479208,6
1621519414,0
1621519444,0
1621519474,0
1621519504,0
1621519534,6
1621519564,6
1621519594,6
1621519624,6
1621519654,6
1621519684,6
1621519714,6
1621519744,6
1621519774,6
1621519804,6
1621519834,6
1621519864,6
1621519894,6
1621519924,6
1621519954,6
1621519984,6
1621520014,6
1621520044,6
1621520074,6
1621520104,6
1621520134,6
1621520164,6
1621520194,6
1621520224,6
1621520254,6
1621520284,6
1621520314,6
1621520344,6
1621520374,6
1621520404,6
1621520434,6
1621520464,6
1621520494,6
1621520524,6
1621520554,6
1621520584,6
1621520614,6
1621520644,6
1621520674,6
1621520704,6
1621520734,6
1621520764,6
1621520794,6
1621520824,6
1621520854,6
1621520884,6
1621520914,6
1621520944,6
1621520974,6
1621557639,0
1621557669,0
1621557699,1
1621557729,6
1621557759,6
1621557789,6
1621557819,6
1621557849,6
1621557879,6
1621557909,6
1621557939,6
1621557969,6
1621557999,6
1621558029,6
1621558059,6
1621558089,6
1621558119,5
1621558149,6
1621558179,6
1621558209,6
1621558239,6
1621558269,6
1621558299,6
1621558329,6
1621558359,6
1621558389,6
1621558419,6
1621558449,6
1621558479,6
1621558509,6
1621558539,6
1621558569,6
1621558599,5
1621558629,6
1621558659,6
1621558689,6
1621558719,6
1621558749,6
1621558779,6
1621558809,6
1621558839,6
1621558869,6
1621558899,6
1621558929,6
1621558959,6
1621558989,6
1621559019,6
1621559049,6
1621559079,6
1621559109,6
1621559139,6
1621559169,6
1621559199,6
1621559229,6
1621559259,6
1621559289,6
1621559319,6
1621559349,6
1621559379,6
1621559409,6
1621559439,6
1621559469,6
1621559499,6
1621559529,6
1621559559,6
1621559589,6
1621559619,6
1621559649,6
1621559679,6
1621559709,6
1621559739,6
1621559769,6
1621559799,6
1621559829,6
1621559859,6
1621559889,6
1621559919,6
1621559949,6
1621559979,6
1621560009,6
1621560039,6
1621560069,6
1621560099,6
1621560129,6
1621560159,6
1621560189,6
1621560219,6
1621560249,6
1621560279,6
1621560309,6
1621560339,6
1621560369,6
1621560399,6
1621560429,6
1621560459,6
1621560489,6
1621560519,6
1621560549,6
1621560579,6
1621560609,6
1621560639,6
1621560669,6
1621560699,6
1621560729,6
1621560759,6
1621560789,6
1621560819,6
1621560849,6
1621560879,6
1621560909,6
1621560939,6
1621560969,6
1621560999,6
1621561029,6
1621561059,6
1621561089,6
1621561119,6
1621561149,6
1621561179,6
1621561209,6
1621561239,6
1621561269,6
1621561299,6
1621561329,6
1621561359,6
1621561389,6
1621561419,6
1621561449,6
1621561479,6
1621561509,6
1621561539,6
1621561569,6
1621561599,6
1621561629,6
1621561659,6
1621561689,6
1621561719,6
1621561749,6
1621561779,6
1621561809,6
1621561839,6
1621561869,6
1621561899,6
1621561929,6
1621561959,6
1621561989,6
1621562019,6
1621562049,6
1621562079,6
1621562109,6
1621562139,6
1621562169,6
