t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1621477378,8,0.259655,0.000000,0.000000,0.000000,events/second
1621477408,9,0.150021,0.000000,0.000000,0.000000,events/second
1621477438,10,0.111131,0.000000,0.000000,0.000000,events/second
1621477468,10,0.083338,0.000000,0.000000,0.000000,events/second
1621477498,10,0.066675,0.000000,0.000000,0.000000,events/second
1621477528,10,0.055553,0.000000,0.000000,0.000000,events/second
1621477558,10,0.047537,0.000000,0.000000,0.000000,events/second
1621477588,10,0.041652,0.000000,0.000000,0.000000,events/second
1621477618,10,0.037029,0.000000,0.000000,0.000000,events/second
1621477648,10,0.033329,0.000000,0.000000,0.000000,events/second
1621477678,10,0.030302,0.000000,0.000000,0.000000,events/second
1621477708,10,0.027776,0.000000,0.000000,0.000000,events/second
1621477738,10,0.025641,0.000000,0.000000,0.000000,events/second
1621477768,10,0.023808,0.000000,0.000000,0.000000,events/second
1621477798,10,0.022222,0.000000,0.000000,0.000000,events/second
1621477828,10,0.020833,0.000000,0.000000,0.000000,events/second
1621477858,10,0.019608,0.000000,0.000000,0.000000,events/second
1621477888,10,0.018519,0.000000,0.000000,0.000000,events/second
1621477918,10,0.017544,0.000000,0.000000,0.000000,events/second
1621477948,10,0.016667,0.000000,0.000000,0.000000,events/second
1621477978,10,0.015873,0.000000,0.000000,0.000000,events/second
1621478008,10,0.015152,0.000000,0.000000,0.000000,events/second
1621478038,10,0.014493,0.000000,0.000000,0.000000,events/second
1621478068,10,0.013889,0.000000,0.000000,0.000000,events/second
1621478098,10,0.013334,0.000000,0.000000,0.000000,events/second
1621478128,12,0.015385,0.000000,0.000000,0.000000,events/second
1621478158,12,0.014815,0.000000,0.000000,0.000000,events/second
1621478188,12,0.014286,0.000000,0.000000,0.000000,events/second
1621478218,12,0.013793,0.000000,0.000000,0.000000,events/second
1621478248,12,0.013334,0.000000,0.000000,0.000000,events/second
1621478278,14,0.015054,0.000000,0.000000,0.000000,events/second
1621478308,16,0.016667,0.000000,0.000000,0.000000,events/second
1621478338,16,0.016162,0.000000,0.000000,0.000000,events/second
1621478368,17,0.016667,0.000000,0.000000,0.000000,events/second
1621478398,17,0.016190,0.000000,0.000000,0.000000,events/second
1621478428,18,0.016667,0.000000,0.000000,0.000000,events/second
1621478458,19,0.017117,0.000000,0.000000,0.000000,events/second
1621478488,19,0.016667,0.000000,0.000000,0.000000,events/second
1621478518,20,0.017094,0.000000,0.000000,0.000000,events/second
1621478548,20,0.016667,0.000000,0.000000,0.000000,events/second
1621478578,21,0.017073,0.000000,0.000000,0.000000,events/second
1621478608,22,0.017460,0.000000,0.000000,0.000000,events/second
1621478638,23,0.017830,0.000000,0.000000,0.000000,events/second
1621478668,23,0.017424,0.000000,0.000000,0.000000,events/second
1621478698,23,0.017037,0.000000,0.000000,0.000000,events/second
1621478728,23,0.016667,0.000000,0.000000,0.000000,events/second
1621478758,23,0.016312,0.000000,0.000000,0.000000,events/second
1621478788,23,0.015972,0.000000,0.000000,0.000000,events/second
1621478818,23,0.015646,0.000000,0.000000,0.000000,events/second
1621478848,23,0.015334,0.000000,0.000000,0.000000,events/second
1621478878,23,0.015033,0.000000,0.000000,0.000000,events/second
1621478908,25,0.016026,0.000000,0.000000,0.000000,events/second
1621478938,26,0.016352,0.000000,0.000000,0.000000,events/second
1621478968,27,0.016667,0.000000,0.000000,0.000000,events/second
1621478998,28,0.016970,0.000000,0.000000,0.000000,events/second
1621479028,29,0.017262,0.000000,0.000000,0.000000,events/second
1621479058,29,0.016959,0.000000,0.000000,0.000000,events/second
1621479088,29,0.016667,0.000000,0.000000,0.000000,events/second
1621479118,29,0.016384,0.000000,0.000000,0.000000,events/second
1621479148,51,0.028334,0.000000,0.000000,0.000000,events/second
1621479178,66,0.036066,0.000000,0.000000,0.000000,events/second
1621479208,69,0.037097,0.000000,0.000000,0.000000,events/second
1621519414,7,0.228047,0.000000,0.000000,0.000000,events/second
1621519444,7,0.116338,0.000000,0.000000,0.000000,events/second
1621519474,8,0.088942,0.000000,0.000000,0.000000,events/second
1621519504,8,0.066630,0.000000,0.000000,0.000000,events/second
1621519534,29,0.193387,0.000000,0.000000,0.000000,events/second
1621519564,33,0.183380,0.000000,0.000000,0.000000,events/second
1621519594,39,0.185757,0.000000,0.000000,0.000000,events/second
1621519624,43,0.179197,0.000000,0.000000,0.000000,events/second
1621519654,50,0.185219,0.000000,0.000000,0.000000,events/second
1621519684,54,0.180030,0.000000,0.000000,0.000000,events/second
1621519714,60,0.181845,0.000000,0.000000,0.000000,events/second
1621519744,63,0.175022,0.000000,0.000000,0.000000,events/second
1621519774,70,0.179512,0.000000,0.000000,0.000000,events/second
1621519804,73,0.173829,0.000000,0.000000,0.000000,events/second
1621519834,79,0.175572,0.000000,0.000000,0.000000,events/second
1621519864,85,0.177101,0.000000,0.000000,0.000000,events/second
1621519894,91,0.178447,0.000000,0.000000,0.000000,events/second
1621519924,95,0.175943,0.000000,0.000000,0.000000,events/second
1621519954,107,0.187736,0.000000,0.000000,0.000000,events/second
1621519984,116,0.193347,0.000000,0.000000,0.000000,events/second
1621520014,126,0.200016,0.000000,0.000000,0.000000,events/second
1621520044,129,0.195467,0.000000,0.000000,0.000000,events/second
1621520074,135,0.195665,0.000000,0.000000,0.000000,events/second
1621520104,141,0.195846,0.000000,0.000000,0.000000,events/second
1621520134,152,0.202682,0.000000,0.000000,0.000000,events/second
