t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1621477378,35,1.135408,0.000000,0.000000,0.000000,events/second
1621477408,37,0.616772,0.000000,0.000000,0.000000,events/second
1621477438,39,0.433419,0.000000,0.000000,0.000000,events/second
1621477468,39,0.325022,0.000000,0.000000,0.000000,events/second
1621477498,39,0.260037,0.000000,0.000000,0.000000,events/second
1621477528,39,0.216658,0.000000,0.000000,0.000000,events/second
1621477558,39,0.185395,0.000000,0.000000,0.000000,events/second
1621477588,39,0.162444,0.000000,0.000000,0.000000,events/second
1621477618,39,0.144413,0.000000,0.000000,0.000000,events/second
1621477648,39,0.129984,0.000000,0.000000,0.000000,events/second
1621477678,39,0.118179,0.000000,0.000000,0.000000,events/second
1621477708,39,0.108326,0.000000,0.000000,0.000000,events/second
1621477738,39,0.099999,0.000000,0.000000,0.000000,events/second
1621477768,39,0.092851,0.000000,0.000000,0.000000,events/second
1621477798,39,0.086665,0.000000,0.000000,0.000000,events/second
1621477828,39,0.081249,0.000000,0.000000,0.000000,events/second
1621477858,39,0.076471,0.000000,0.000000,0.000000,events/second
1621477888,39,0.072223,0.000000,0.000000,0.000000,events/second
1621477918,39,0.068423,0.000000,0.000000,0.000000,events/second
1621477948,39,0.065001,0.000000,0.000000,0.000000,events/second
1621477978,39,0.061905,0.000000,0.000000,0.000000,events/second
1621478008,39,0.059093,0.000000,0.000000,0.000000,events/second
1621478038,39,0.056523,0.000000,0.000000,0.000000,events/second
1621478068,39,0.054168,0.000000,0.000000,0.000000,events/second
1621478098,39,0.052002,0.000000,0.000000,0.000000,events/second
1621478128,43,0.055129,0.000000,0.000000,0.000000,events/second
1621478158,43,0.053087,0.000000,0.000000,0.000000,events/second
1621478188,43,0.051191,0.000000,0.000000,0.000000,events/second
1621478218,43,0.049426,0.000000,0.000000,0.000000,events/second
1621478248,43,0.047779,0.000000,0.000000,0.000000,events/second
1621478278,47,0.050539,0.000000,0.000000,0.000000,events/second
1621478308,51,0.053126,0.000000,0.000000,0.000000,events/second
1621478338,51,0.051516,0.000000,0.000000,0.000000,events/second
1621478368,53,0.051962,0.000000,0.000000,0.000000,events/second
1621478398,53,0.050476,0.000000,0.000000,0.000000,events/second
1621478428,55,0.050927,0.000000,0.000000,0.000000,events/second
1621478458,57,0.051352,0.000000,0.000000,0.000000,events/second
1621478488,57,0.050000,0.000000,0.000000,0.000000,events/second
1621478518,59,0.050428,0.000000,0.000000,0.000000,events/second
1621478548,59,0.049167,0.000000,0.000000,0.000000,events/second
1621478578,61,0.049594,0.000000,0.000000,0.000000,events/second
1621478608,63,0.050001,0.000000,0.000000,0.000000,events/second
1621478638,65,0.050388,0.000000,0.000000,0.000000,events/second
1621478668,65,0.049243,0.000000,0.000000,0.000000,events/second
1621478698,65,0.048149,0.000000,0.000000,0.000000,events/second
1621478728,65,0.047102,0.000000,0.000000,0.000000,events/second
1621478758,65,0.046100,0.000000,0.000000,0.000000,events/second
1621478788,65,0.045139,0.000000,0.000000,0.000000,events/second
1621478818,65,0.044218,0.000000,0.000000,0.000000,events/second
1621478848,65,0.043334,0.000000,0.000000,0.000000,events/second
1621478878,65,0.042484,0.000000,0.000000,0.000000,events/second
1621478908,69,0.044231,0.000000,0.000000,0.000000,events/second
1621478938,71,0.044654,0.000000,0.000000,0.000000,events/second
1621478968,73,0.045062,0.000000,0.000000,0.000000,events/second
1621478998,75,0.045455,0.000000,0.000000,0.000000,events/second
1621479028,77,0.045834,0.000000,0.000000,0.000000,events/second
1621479058,77,0.045030,0.000000,0.000000,0.000000,events/second
1621479088,77,0.044253,0.000000,0.000000,0.000000,events/second
1621479118,77,0.043503,0.000000,0.000000,0.000000,events/second
1621479148,235,0.130557,0.000000,0.000000,0.000000,events/second
1621479178,420,0.229511,0.000000,0.000000,0.000000,events/second
1621479208,443,0.238175,0.000000,0.000000,0.000000,events/second
1621519414,34,1.107212,0.000000,0.000000,0.000000,events/second
1621519444,34,0.565097,0.000000,0.000000,0.000000,events/second
1621519474,36,0.400254,0.000000,0.000000,0.000000,events/second
1621519504,36,0.299835,0.000000,0.000000,0.000000,events/second
1621519534,147,0.980297,0.000000,0.000000,0.000000,events/second
1621519564,175,0.972489,0.000000,0.000000,0.000000,events/second
1621519594,221,1.052643,0.000000,0.000000,0.000000,events/second
1621519624,249,1.037691,0.000000,0.000000,0.000000,events/second
1621519654,300,1.111327,0.000000,0.000000,0.000000,events/second
1621519684,328,1.093526,0.000000,0.000000,0.000000,events/second
1621519714,374,1.133513,0.000000,0.000000,0.000000,events/second
1621519744,397,1.102926,0.000000,0.000000,0.000000,events/second
1621519774,448,1.148889,0.000000,0.000000,0.000000,events/second
1621519804,471,1.121562,0.000000,0.000000,0.000000,events/second
1621519834,517,1.149006,0.000000,0.000000,0.000000,events/second
1621519864,598,1.245968,0.000000,0.000000,0.000000,events/second
1621519894,644,1.262862,0.000000,0.000000,0.000000,events/second
1621519924,704,1.303841,0.000000,0.000000,0.000000,events/second
1621519954,846,1.484350,0.000000,0.000000,0.000000,events/second
1621519984,950,1.583456,0.000000,0.000000,0.000000,events/second
1621520014,1241,1.970014,0.000000,0.000000,0.000000,events/second
1621520044,1264,1.915286,0.000000,0.000000,0.000000,events/second
1621520074,1310,1.898681,0.000000,0.000000,0.000000,events/second
1621520104,1371,1.904297,0.000000,0.000000,0.000000,events/second
1621520134,1821,2.428189,0.000000,0.000000,0.000000,events/second
1621520164,1844,2.364266,0.000000,0.000000,0.000000,events/second
1621520194,1933,2.386557,0.000000,0.000000,0.000000,events/second
1621520224,1966,2.340618,0.000000,0.000000,0.000000,events/second
1621520254,2150,2.471428,0.000000,0.000000,0.000000,events/second
1621520284,2272,2.524590,0.000000,0.000000,0.000000,events/second
1621520314,2414,2.595845,0.000000,0.000000,0.000000,events/second
1621520344,2480,2.583489,0.000000,0.000000,0.000000,events/second
1621520374,2526,2.551660,0.000000,0.000000,0.000000,events/second
1621520404,2549,2.499132,0.000000,0.000000,0.000000,events/second
1621520434,2595,2.471553,0.000000,0.000000,0.000000,events/second
1621520464,2618,2.424181,0.000000,0.000000,0.000000,events/second
1621520494,2664,2.400115,0.000000,0.000000,0.000000,events/second
1621520524,2687,2.357111,0.000000,0.000000,0.000000,events/second
1621520554,2733,2.336000,0.000000,0.000000,0.000000,events/second
1621520584,2756,2.296776,0.000000,0.000000,0.000000,events/second
1621520614,2802,2.278135,0.000000,0.000000,0.000000,events/second
1621520644,2825,2.242155,0.000000,0.000000,0.000000,events/second
1621520674,2871,2.225661,0.000000,0.000000,0.000000,events/second
1621520704,2957,2.240233,0.000000,0.000000,0.000000,events/second
1621520734,3003,2.224521,0.000000,0.000000,0.000000,events/second
1621520764,3026,2.192837,0.000000,0.000000,0.000000,events/second
1621520794,3072,2.178793,0.000000,0.000000,0.000000,events/second
1621520824,3095,2.149387,0.000000,0.000000,0.000000,events/second
1621520854,3141,2.136812,0.000000,0.000000,0.000000,events/second
1621520884,3164,2.109410,0.000000,0.000000,0.000000,events/second
1621520914,3250,2.124265,0.000000,0.000000,0.000000,events/second
1621520944,3540,2.269306,0.000000,0.000000,0.000000,events/second
1621520974,3586,2.255426,0.000000,0.000000,0.000000,events/second
1621557639,34,1.114892,0.000000,0.000000,0.000000,events/second
1621557669,34,0.566618,0.000000,0.000000,0.000000,events/second
1621557699,47,0.522057,0.000000,0.000000,0.000000,events/second
1621557729,257,2.141805,0.000000,0.000000,0.000000,events/second
1621557759,291,1.939971,0.000000,0.000000,0.000000,events/second
1621557789,329,1.827754,0.000000,0.000000,0.000000,events/second
1621557819,363,1.728536,0.000000,0.000000,0.000000,events/second
1621557849,401,1.670817,0.000000,0.000000,0.000000,events/second
1621557879,435,1.611112,0.000000,0.000000,0.000000,events/second
1621557909,473,1.576713,0.000000,0.000000,0.000000,events/second
1621557939,507,1.536389,0.000000,0.000000,0.000000,events/second
1621557969,542,1.505562,0.000000,0.000000,0.000000,events/second
1621557999,576,1.476914,0.000000,0.000000,0.000000,events/second
1621558029,611,1.454428,0.000000,0.000000,0.000000,events/second
1621558059,645,1.433321,0.000000,0.000000,0.000000,events/second
1621558089,680,1.416674,0.000000,0.000000,0.000000,events/second
1621558119,716,1.403943,0.000000,0.000000,0.000000,events/second
1621558149,752,1.392605,0.000000,0.000000,0.000000,events/second
1621558179,783,1.373709,0.000000,0.000000,0.000000,events/second
1621558209,827,1.378332,0.000000,0.000000,0.000000,events/second
1621558239,858,1.361871,0.000000,0.000000,0.000000,events/second
1621558269,902,1.366663,0.000000,0.000000,0.000000,events/second
1621558299,930,1.347819,0.000000,0.000000,0.000000,events/second
1621558329,971,1.348617,0.000000,0.000000,0.000000,events/second
1621558359,999,1.332005,0.000000,0.000000,0.000000,events/second
1621558389,1044,1.338472,0.000000,0.000000,0.000000,events/second
1621558419,1075,1.327174,0.000000,0.000000,0.000000,events/second
1621558449,1123,1.336911,0.000000,0.000000,0.000000,events/second
1621558479,1189,1.366653,0.000000,0.000000,0.000000,events/second
1621558509,1230,1.366661,0.000000,0.000000,0.000000,events/second
1621558539,1262,1.356996,0.000000,0.000000,0.000000,events/second
1621558569,1303,1.357298,0.000000,0.000000,0.000000,events/second
1621558599,1329,1.342438,0.000000,0.000000,0.000000,events/second
1621558629,1372,1.345110,0.000000,0.000000,0.000000,events/second
1621558659,1404,1.337154,0.000000,0.000000,0.000000,events/second
1621558689,1755,1.624998,0.000000,0.000000,0.000000,events/second
1621558719,1778,1.601813,0.000000,0.000000,0.000000,events/second
1621558749,1824,1.600008,0.000000,0.000000,0.000000,events/second
1621558779,1847,1.578632,0.000000,0.000000,0.000000,events/second
1621558809,1931,1.609178,0.000000,0.000000,0.000000,events/second
1621558839,1954,1.588627,0.000000,0.000000,0.000000,events/second
1621558869,2003,1.589695,0.000000,0.000000,0.000000,events/second
1621558899,2327,1.803885,0.000000,0.000000,0.000000,events/second
1621558929,2589,1.961358,0.000000,0.000000,0.000000,events/second
1621558959,2612,1.934814,0.000000,0.000000,0.000000,events/second
1621558989,2658,1.926082,0.000000,0.000000,0.000000,events/second
1621559019,2681,1.901430,0.000000,0.000000,0.000000,events/second
1621559049,2943,2.043757,0.000000,0.000000,0.000000,events/second
1621559079,2966,2.017694,0.000000,0.000000,0.000000,events/second
1621559109,3266,2.177336,0.000000,0.000000,0.000000,events/second
1621559139,3501,2.288235,0.000000,0.000000,0.000000,events/second
1621559169,3547,2.273730,0.000000,0.000000,0.000000,events/second
1621559199,3570,2.245286,0.000000,0.000000,0.000000,events/second
1621559229,3668,2.264195,0.000000,0.000000,0.000000,events/second
1621559259,3691,2.236978,0.000000,0.000000,0.000000,events/second
1621559289,3953,2.352979,0.000000,0.000000,0.000000,events/second
1621559319,4348,2.542700,0.000000,0.000000,0.000000,events/second
1621559349,4394,2.525284,0.000000,0.000000,0.000000,events/second
1621559379,4417,2.495482,0.000000,0.000000,0.000000,events/second
1621559409,4463,2.479440,0.000000,0.000000,0.000000,events/second
1621559439,4486,2.451373,0.000000,0.000000,0.000000,events/second
1621559469,4532,2.436562,0.000000,0.000000,0.000000,events/second
1621559499,4555,2.410052,0.000000,0.000000,0.000000,events/second
1621559529,4601,2.396367,0.000000,0.000000,0.000000,events/second
1621559559,4628,2.373345,0.000000,0.000000,0.000000,events/second
1621559589,5008,2.529307,0.000000,0.000000,0.000000,events/second
1621559619,5031,2.502989,0.000000,0.000000,0.000000,events/second
1621559649,5148,2.523521,0.000000,0.000000,0.000000,events/second
1621559679,5510,2.661839,0.000000,0.000000,0.000000,events/second
1621559709,5556,2.645714,0.000000,0.000000,0.000000,events/second
1621559739,5914,2.776525,0.000000,0.000000,0.000000,events/second
1621559769,6010,2.782401,0.000000,0.000000,0.000000,events/second
1621559799,6071,2.772159,0.000000,0.000000,0.000000,events/second
1621559829,6202,2.793689,0.000000,0.000000,0.000000,events/second
1621559859,6255,2.780009,0.000000,0.000000,0.000000,events/second
1621559889,6364,2.791224,0.000000,0.000000,0.000000,events/second
1621559919,6493,2.810820,0.000000,0.000000,0.000000,events/second
1621559949,6597,2.819151,0.000000,0.000000,0.000000,events/second
1621559979,6721,2.835864,0.000000,0.000000,0.000000,events/second
1621560009,6797,2.832079,0.000000,0.000000,0.000000,events/second
1621560039,6913,2.844862,0.000000,0.000000,0.000000,events/second
1621560069,7329,2.979267,0.000000,0.000000,0.000000,events/second
1621560099,7352,2.952620,0.000000,0.000000,0.000000,events/second
1621560129,7732,3.068256,0.000000,0.000000,0.000000,events/second
