t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1621477378,30,0.972821,0.000000,0.000000,0.000000,events/second
1621477408,31,0.516756,0.000000,0.000000,0.000000,events/second
1621477438,32,0.355627,0.000000,0.000000,0.000000,events/second
1621477468,32,0.266685,0.000000,0.000000,0.000000,events/second
1621477498,32,0.213364,0.000000,0.000000,0.000000,events/second
1621477528,32,0.177771,0.000000,0.000000,0.000000,events/second
1621477558,32,0.152118,0.000000,0.000000,0.000000,events/second
1621477588,32,0.133286,0.000000,0.000000,0.000000,events/second
1621477618,32,0.118492,0.000000,0.000000,0.000000,events/second
1621477648,32,0.106653,0.000000,0.000000,0.000000,events/second
1621477678,32,0.096967,0.000000,0.000000,0.000000,events/second
1621477708,32,0.088883,0.000000,0.000000,0.000000,events/second
1621477738,32,0.082050,0.000000,0.000000,0.000000,events/second
1621477768,32,0.076186,0.000000,0.000000,0.000000,events/second
1621477798,32,0.071110,0.000000,0.000000,0.000000,events/second
1621477828,32,0.066666,0.000000,0.000000,0.000000,events/second
1621477858,32,0.062745,0.000000,0.000000,0.000000,events/second
1621477888,32,0.059260,0.000000,0.000000,0.000000,events/second
1621477918,32,0.056142,0.000000,0.000000,0.000000,events/second
1621477948,32,0.053334,0.000000,0.000000,0.000000,events/second
1621477978,32,0.050794,0.000000,0.000000,0.000000,events/second
1621478008,32,0.048486,0.000000,0.000000,0.000000,events/second
1621478038,32,0.046378,0.000000,0.000000,0.000000,events/second
1621478068,32,0.044446,0.000000,0.000000,0.000000,events/second
1621478098,32,0.042668,0.000000,0.000000,0.000000,events/second
1621478128,34,0.043591,0.000000,0.000000,0.000000,events/second
1621478158,34,0.041976,0.000000,0.000000,0.000000,events/second
1621478188,34,0.040477,0.000000,0.000000,0.000000,events/second
1621478218,34,0.039081,0.000000,0.000000,0.000000,events/second
1621478248,34,0.037779,0.000000,0.000000,0.000000,events/second
1621478278,36,0.038710,0.000000,0.000000,0.000000,events/second
1621478308,38,0.039584,0.000000,0.000000,0.000000,events/second
1621478338,38,0.038384,0.000000,0.000000,0.000000,events/second
1621478368,39,0.038236,0.000000,0.000000,0.000000,events/second
1621478398,39,0.037143,0.000000,0.000000,0.000000,events/second
1621478428,40,0.037038,0.000000,0.000000,0.000000,events/second
1621478458,41,0.036937,0.000000,0.000000,0.000000,events/second
1621478488,41,0.035965,0.000000,0.000000,0.000000,events/second
1621478518,42,0.035898,0.000000,0.000000,0.000000,events/second
1621478548,42,0.035000,0.000000,0.000000,0.000000,events/second
1621478578,43,0.034960,0.000000,0.000000,0.000000,events/second
1621478608,44,0.034921,0.000000,0.000000,0.000000,events/second
1621478638,45,0.034884,0.000000,0.000000,0.000000,events/second
1621478668,45,0.034091,0.000000,0.000000,0.000000,events/second
1621478698,45,0.033334,0.000000,0.000000,0.000000,events/second
1621478728,45,0.032609,0.000000,0.000000,0.000000,events/second
1621478758,45,0.031915,0.000000,0.000000,0.000000,events/second
1621478788,45,0.031250,0.000000,0.000000,0.000000,events/second
1621478818,45,0.030612,0.000000,0.000000,0.000000,events/second
1621478848,45,0.030000,0.000000,0.000000,0.000000,events/second
1621478878,45,0.029412,0.000000,0.000000,0.000000,events/second
1621478908,47,0.030129,0.000000,0.000000,0.000000,events/second
1621478938,48,0.030189,0.000000,0.000000,0.000000,events/second
1621478968,49,0.030247,0.000000,0.000000,0.000000,events/second
1621478998,50,0.030303,0.000000,0.000000,0.000000,events/second
1621479028,51,0.030357,0.000000,0.000000,0.000000,events/second
1621479058,51,0.029825,0.000000,0.000000,0.000000,events/second
1621479088,51,0.029311,0.000000,0.000000,0.000000,events/second
1621479118,51,0.028814,0.000000,0.000000,0.000000,events/second
1621479148,194,0.107779,0.000000,0.000000,0.000000,events/second
1621479178,364,0.198910,0.000000,0.000000,0.000000,events/second
1621479208,384,0.206454,0.000000,0.000000,0.000000,events/second
1621519414,29,0.943698,0.000000,0.000000,0.000000,events/second
1621519444,29,0.481993,0.000000,0.000000,0.000000,events/second
1621519474,30,0.333556,0.000000,0.000000,0.000000,events/second
1621519504,30,0.249867,0.000000,0.000000,0.000000,events/second
1621519534,126,0.840271,0.000000,0.000000,0.000000,events/second
1621519564,150,0.833575,0.000000,0.000000,0.000000,events/second
1621519594,190,0.905000,0.000000,0.000000,0.000000,events/second
1621519624,214,0.891841,0.000000,0.000000,0.000000,events/second
1621519654,258,0.955751,0.000000,0.000000,0.000000,events/second
1621519684,282,0.940174,0.000000,0.000000,0.000000,events/second
1621519714,322,0.975921,0.000000,0.000000,0.000000,events/second
1621519744,342,0.950136,0.000000,0.000000,0.000000,events/second
1621519774,386,0.989898,0.000000,0.000000,0.000000,events/second
1621519804,406,0.966784,0.000000,0.000000,0.000000,events/second
1621519834,446,0.991219,0.000000,0.000000,0.000000,events/second
1621519864,521,1.085541,0.000000,0.000000,0.000000,events/second
1621519894,561,1.100108,0.000000,0.000000,0.000000,events/second
1621519924,618,1.144572,0.000000,0.000000,0.000000,events/second
1621519954,748,1.312411,0.000000,0.000000,0.000000,events/second
1621519984,843,1.405116,0.000000,0.000000,0.000000,events/second
1621520014,1125,1.785879,0.000000,0.000000,0.000000,events/second
1621520044,1145,1.734978,0.000000,0.000000,0.000000,events/second
1621520074,1185,1.717517,0.000000,0.000000,0.000000,events/second
1621520104,1240,1.722347,0.000000,0.000000,0.000000,events/second
1621520134,1680,2.240183,0.000000,0.000000,0.000000,events/second
1621520164,1700,2.179646,0.000000,0.000000,0.000000,events/second
1621520194,1780,2.197666,0.000000,0.000000,0.000000,events/second
1621520224,1810,2.154900,0.000000,0.000000,0.000000,events/second
1621520254,1985,2.281768,0.000000,0.000000,0.000000,events/second
1621520284,2095,2.327920,0.000000,0.000000,0.000000,events/second
1621520314,2225,2.392616,0.000000,0.000000,0.000000,events/second
1621520344,2285,2.380359,0.000000,0.000000,0.000000,events/second
1621520374,2325,2.348625,0.000000,0.000000,0.000000,events/second
