t,value
1621477378,9223372036854775807
1621477408,9223372036854775807
1621477438,9223372036854775807
1621477468,9223372036854775807
1621477498,9223372036854775807
1621477528,9223372036854775807
1621477558,9223372036854775807
1621477588,9223372036854775807
1621477618,9223372036854775807
1621477648,9223372036854775807
1621477678,9223372036854775807
1621477708,9223372036854775807
1621477738,9223372036854775807
1621477768,9223372036854775807
1621477798,9223372036854775807
1621477828,9223372036854775807
1621477858,9223372036854775807
1621477888,9223372036854775807
1621477918,9223372036854775807
1621477948,9223372036854775807
1621477978,9223372036854775807
1621478008,9223372036854775807
1621478038,9223372036854775807
1621478068,9223372036854775807
1621478098,9223372036854775807
1621478128,9223372036854775807
1621478158,9223372036854775807
1621478188,9223372036854775807
1621478218,9223372036854775807
1621478248,9223372036854775807
1621478278,9223372036854775807
1621478308,9223372036854775807
1621478338,9223372036854775807
1621478368,9223372036854775807
1621478398,9223372036854775807
1621478428,9223372036854775807
1621478458,9223372036854775807
1621478488,9223372036854775807
1621478518,9223372036854775807
1621478548,9223372036854775807
1621478578,9223372036854775807
1621478608,9223372036854775807
1621478638,9223372036854775807
1621478668,9223372036854775807
1621478698,9223372036854775807
1621478728,9223372036854775807
1621478758,9223372036854775807
1621478788,9223372036854775807
1621478818,9223372036854775807
1621478848,9223372036854775807
1621478878,9223372036854775807
1621478908,9223372036854775807
1621478938,9223372036854775807
1621478968,9223372036854775807
1621478998,9223372036854775807
1621479028,9223372036854775807
1621479058,9223372036854775807
1621479088,9223372036854775807
1621479118,9223372036854775807
1621479148,9223372036854775807
1621479178,9223372036854775807
1621479208,9223372036854775807
1621519414,9223372036854775807
1621519444,9223372036854775807
1621519474,9223372036854775807
1621519504,9223372036854775807
1621519534,9223372036854775807
1621519564,9223372036854775807
1621519594,9223372036854775807
1621519624,9223372036854775807
1621519654,9223372036854775807
1621519684,9223372036854775807
1621519714,9223372036854775807
1621519744,9223372036854775807
1621519774,9223372036854775807
1621519804,9223372036854775807
1621519834,9223372036854775807
1621519864,9223372036854775807
1621519894,9223372036854775807
1621519924,9223372036854775807
1621519954,9223372036854775807
1621519984,9223372036854775807
1621520014,9223372036854775807
1621520044,9223372036854775807
1621520074,9223372036854775807
1621520104,9223372036854775807
1621520134,9223372036854775807
1621520164,9223372036854775807
1621520194,9223372036854775807
1621520224,9223372036854775807
1621520254,9223372036854775807
1621520284,9223372036854775807
1621520314,9223372036854775807
1621520344,9223372036854775807
1621520374,9223372036854775807
1621520404,9223372036854775807
1621520434,9223372036854775807
1621520464,9223372036854775807
1621520494,9223372036854775807
1621520524,9223372036854775807
1621520554,9223372036854775807
1621520584,9223372036854775807
1621520614,9223372036854775807
1621520644,9223372036854775807
1621520674,9223372036854775807
1621520704,9223372036854775807
1621520734,9223372036854775807
1621520764,9223372036854775807
1621520794,9223372036854775807
1621520824,9223372036854775807
1621520854,9223372036854775807
1621520884,9223372036854775807
1621520914,9223372036854775807
1621520944,9223372036854775807
1621520974,9223372036854775807
1621557639,9223372036854775807
1621557669,9223372036854775807
1621557699,9223372036854775807
1621557729,9223372036854775807
1621557759,9223372036854775807
1621557789,9223372036854775807
1621557819,9223372036854775807
1621557849,9223372036854775807
1621557879,9223372036854775807
1621557909,9223372036854775807
1621557939,9223372036854775807
1621557969,9223372036854775807
1621557999,9223372036854775807
1621558029,9223372036854775807
1621558059,9223372036854775807
1621558089,9223372036854775807
1621558119,9223372036854775807
1621558149,9223372036854775807
1621558179,9223372036854775807
1621558209,9223372036854775807
1621558239,9223372036854775807
1621558269,9223372036854775807
1621558299,9223372036854775807
1621558329,9223372036854775807
1621558359,9223372036854775807
1621558389,9223372036854775807
1621558419,9223372036854775807
1621558449,9223372036854775807
1621558479,9223372036854775807
1621558509,9223372036854775807
1621558539,9223372036854775807
1621558569,9223372036854775807
1621558599,9223372036854775807
1621558629,9223372036854775807
1621558659,9223372036854775807
1621558689,9223372036854775807
1621558719,9223372036854775807
1621558749,9223372036854775807
1621558779,9223372036854775807
1621558809,9223372036854775807
1621558839,9223372036854775807
1621558869,9223372036854775807
1621558899,9223372036854775807
1621558929,9223372036854775807
1621558959,9223372036854775807
1621558989,9223372036854775807
1621559019,9223372036854775807
1621559049,9223372036854775807
1621559079,9223372036854775807
1621559109,9223372036854775807
1621559139,9223372036854775807
1621559169,9223372036854775807
1621559199,9223372036854775807
1621559229,9223372036854775807
1621559259,9223372036854775807
1621559289,9223372036854775807
1621559319,9223372036854775807
1621559349,9223372036854775807
1621559379,9223372036854775807
1621559409,9223372036854775807
1621559439,9223372036854775807
1621559469,9223372036854775807
1621559499,9223372036854775807
1621559529,9223372036854775807
1621559559,9223372036854775807
1621559589,9223372036854775807
1621559619,9223372036854775807
1621559649,9223372036854775807
1621559679,9223372036854775807
1621559709,9223372036854775807
1621559739,9223372036854775807
1621559769,9223372036854775807
1621559799,9223372036854775807
1621559829,9223372036854775807
1621559859,9223372036854775807
1621559889,9223372036854775807
1621559919,9223372036854775807
1621559949,9223372036854775807
1621559979,9223372036854775807
1621560009,9223372036854775807
1621560039,9223372036854775807
1621560069,9223372036854775807
1621560099,9223372036854775807
1621560129,9223372036854775807
1621560159,9223372036854775807
1621560189,9223372036854775807
1621560219,9223372036854775807
1621560249,9223372036854775807
1621560279,9223372036854775807
1621560309,9223372036854775807
1621560339,9223372036854775807
1621560369,9223372036854775807
1621560399,9223372036854775807
1621560429,9223372036854775807
1621560459,9223372036854775807
1621560489,9223372036854775807
1621560519,9223372036854775807
1621560549,9223372036854775807
1621560579,9223372036854775807
1621560609,9223372036854775807
1621560639,9223372036854775807
1621560669,9223372036854775807
1621560699,9223372036854775807
1621560729,9223372036854775807
1621560759,9223372036854775807
1621560789,9223372036854775807
1621560819,9223372036854775807
1621560849,9223372036854775807
1621560879,9223372036854775807
1621560909,9223372036854775807
1621560939,9223372036854775807
1621560969,9223372036854775807
1621560999,9223372036854775807
1621561029,9223372036854775807
1621561059,9223372036854775807
1621561089,9223372036854775807
1621561119,9223372036854775807
1621561149,9223372036854775807
1621561179,9223372036854775807
1621561209,9223372036854775807
1621561239,9223372036854775807
1621561269,9223372036854775807
1621561299,9223372036854775807
1621561329,9223372036854775807
1621561359,9223372036854775807
1621561389,9223372036854775807
1621561419,9223372036854775807
1621561449,9223372036854775807
1621561479,9223372036854775807
1621561509,9223372036854775807
1621561539,9223372036854775807
1621561569,9223372036854775807
1621561599,9223372036854775807
1621561629,9223372036854775807
1621561659,9223372036854775807
1621561689,9223372036854775807
1621561719,9223372036854775807
1621561749,9223372036854775807
1621561779,9223372036854775807
1621561809,9223372036854775807
1621561839,9223372036854775807
1621561869,9223372036854775807
1621561899,9223372036854775807
1621561929,9223372036854775807
1621561959,9223372036854775807
1621561989,9223372036854775807
1621562019,9223372036854775807
1621562049,9223372036854775807
1621562079,9223372036854775807
1621562109,9223372036854775807
1621562139,9223372036854775807
1621562169,9223372036854775807
1621562199,9223372036854775807
1621562229,9223372036854775807
1621701756,9223372036854775807
1621701786,9223372036854775807
1621701816,9223372036854775807
