t,value
1621477378,167772160
1621477408,167772160
1621477438,167772160
1621477468,167772160
1621477498,167772160
1621477528,167772160
1621477558,167772160
1621477588,167772160
1621477618,167772160
1621477648,167772160
1621477678,167772160
1621477708,167772160
1621477738,167772160
1621477768,167772160
1621477798,167772160
1621477828,167772160
1621477858,167772160
1621477888,167772160
1621477918,167772160
1621477948,167772160
1621477978,167772160
1621478008,167772160
1621478038,167772160
1621478068,167772160
1621478098,167772160
1621478128,167772160
1621478158,167772160
1621478188,167772160
1621478218,167772160
1621478248,167772160
1621478278,167772160
1621478308,167772160
1621478338,167772160
1621478368,167772160
1621478398,167772160
1621478428,167772160
1621478458,167772160
1621478488,167772160
1621478518,167772160
1621478548,167772160
1621478578,167772160
1621478608,167772160
1621478638,167772160
1621478668,167772160
1621478698,167772160
1621478728,167772160
1621478758,167772160
1621478788,167772160
1621478818,167772160
1621478848,167772160
1621478878,167772160
1621478908,167772160
1621478938,167772160
1621478968,167772160
1621478998,167772160
1621479028,167772160
1621479058,167772160
1621479088,167772160
1621479118,167772160
1621479148,167772160
1621479178,167772160
1621479208,167772160
1621519414,167772160
1621519444,167772160
1621519474,167772160
1621519504,167772160
1621519534,167772160
1621519564,167772160
1621519594,167772160
1621519624,167772160
1621519654,167772160
1621519684,167772160
1621519714,167772160
1621519744,167772160
1621519774,167772160
1621519804,167772160
1621519834,167772160
1621519864,167772160
1621519894,167772160
1621519924,167772160
1621519954,167772160
1621519984,167772160
1621520014,167772160
1621520044,167772160
1621520074,167772160
1621520104,167772160
1621520134,167772160
1621520164,167772160
1621520194,167772160
1621520224,167772160
1621520254,167772160
1621520284,167772160
1621520314,167772160
1621520344,167772160
1621520374,167772160
1621520404,167772160
1621520434,167772160
1621520464,167772160
1621520494,167772160
1621520524,167772160
1621520554,167772160
1621520584,167772160
1621520614,167772160
1621520644,167772160
1621520674,167772160
1621520704,167772160
1621520734,167772160
1621520764,167772160
1621520794,167772160
1621520824,167772160
1621520854,167772160
1621520884,167772160
1621520914,167772160
1621520944,167772160
1621520974,167772160
1621557639,150994944
1621557669,150994944
1621557699,167772160
1621557729,167772160
1621557759,167772160
1621557789,167772160
1621557819,167772160
1621557849,167772160
1621557879,167772160
1621557909,167772160
1621557939,167772160
1621557969,167772160
1621557999,167772160
1621558029,167772160
1621558059,167772160
1621558089,167772160
1621558119,167772160
1621558149,167772160
1621558179,167772160
1621558209,167772160
1621558239,167772160
1621558269,167772160
1621558299,167772160
1621558329,167772160
1621558359,167772160
1621558389,167772160
1621558419,167772160
1621558449,167772160
1621558479,167772160
1621558509,167772160
1621558539,167772160
1621558569,167772160
1621558599,167772160
1621558629,167772160
1621558659,167772160
1621558689,167772160
1621558719,167772160
1621558749,167772160
1621558779,167772160
1621558809,167772160
1621558839,167772160
1621558869,167772160
1621558899,167772160
1621558929,167772160
1621558959,167772160
1621558989,167772160
1621559019,167772160
1621559049,167772160
1621559079,167772160
1621559109,167772160
1621559139,167772160
1621559169,167772160
1621559199,167772160
1621559229,167772160
1621559259,167772160
1621559289,167772160
1621559319,167772160
1621559349,167772160
1621559379,167772160
1621559409,167772160
1621559439,167772160
1621559469,167772160
1621559499,167772160
1621559529,167772160
1621559559,167772160
1621559589,167772160
1621559619,167772160
1621559649,167772160
1621559679,167772160
1621559709,167772160
1621559739,167772160
1621559769,167772160
1621559799,167772160
1621559829,167772160
1621559859,167772160
1621559889,167772160
1621559919,167772160
1621559949,167772160
