t,value
1621477378,0
1621477408,0
1621477438,0
1621477468,0
1621477498,0
1621477528,0
1621477558,0
1621477588,0
1621477618,0
1621477648,0
1621477678,0
1621477708,0
1621477738,0
1621477768,0
1621477798,0
1621477828,0
1621477858,0
1621477888,0
1621477918,0
1621477948,0
1621477978,0
1621478008,0
1621478038,0
1621478068,0
1621478098,0
1621478128,0
1621478158,0
1621478188,0
1621478218,0
1621478248,0
1621478278,0
1621478308,0
1621478338,0
1621478368,0
1621478398,0
1621478428,0
1621478458,0
1621478488,0
1621478518,0
1621478548,0
1621478578,0
1621478608,0
1621478638,0
1621478668,0
1621478698,0
1621478728,0
1621478758,0
1621478788,0
1621478818,0
1621478848,0
1621478878,0
1621478908,0
1621478938,0
1621478968,0
1621478998,0
1621479028,0
1621479058,0
1621479088,0
1621479118,0
1621479148,40
1621479178,40
1621479208,40
1621519414,77
1621519444,77
1621519474,77
1621519504,77
1621519534,77
1621519564,77
1621519594,77
1621519624,77
1621519654,77
1621519684,77
1621519714,77
1621519744,77
1621519774,77
1621519804,77
1621519834,77
1621519864,77
1621519894,77
1621519924,77
1621519954,77
1621519984,77
1621520014,77
1621520044,77
1621520074,77
1621520104,77
1621520134,77
1621520164,77
1621520194,77
1621520224,77
1621520254,77
1621520284,77
1621520314,77
1621520344,77
1621520374,77
1621520404,77
1621520434,77
1621520464,77
1621520494,75
1621520524,75
1621520554,75
1621520584,75
1621520614,75
1621520644,75
1621520674,75
1621520704,75
1621520734,75
1621520764,75
1621520794,75
1621520824,75
1621520854,75
1621520884,75
1621520914,75
1621520944,75
1621520974,75
1621557639,60
1621557669,60
1621557699,60
1621557729,60
1621557759,60
1621557789,60
1621557819,60
1621557849,60
1621557879,60
1621557909,60
1621557939,60
1621557969,60
1621557999,60
1621558029,60
1621558059,60
1621558089,60
1621558119,60
1621558149,60
1621558179,60
1621558209,60
1621558239,60
1621558269,60
1621558299,60
1621558329,60
1621558359,60
1621558389,60
1621558419,60
1621558449,60
1621558479,60
1621558509,60
1621558539,60
1621558569,60
1621558599,60
1621558629,60
1621558659,60
1621558689,60
1621558719,60
1621558749,60
1621558779,60
1621558809,60
1621558839,60
1621558869,60
1621558899,60
1621558929,60
1621558959,60
1621558989,60
1621559019,60
1621559049,60
1621559079,60
1621559109,60
1621559139,60
1621559169,60
1621559199,60
1621559229,60
1621559259,60
1621559289,60
1621559319,60
1621559349,60
1621559379,60
1621559409,45
1621559439,45
1621559469,45
1621559499,45
1621559529,45
1621559559,45
1621559589,45
1621559619,45
1621559649,45
1621559679,45
1621559709,45
1621559739,45
1621559769,45
1621559799,45
1621559829,45
1621559859,45
1621559889,45
1621559919,45
1621559949,45
1621559979,45
1621560009,45
1621560039,45
1621560069,45
1621560099,45
1621560129,45
1621560159,45
1621560189,45
1621560219,45
1621560249,45
1621560279,45
1621560309,50
1621560339,50
1621560369,50
1621560399,50
1621560429,50
1621560459,50
1621560489,50
1621560519,50
1621560549,50
1621560579,50
1621560609,50
1621560639,50
1621560669,50
1621560699,50
1621560729,50
1621560759,50
1621560789,50
1621560819,50
1621560849,50
1621560879,50
1621560909,50
1621560939,50
1621560969,50
1621560999,50
1621561029,50
1621561059,50
1621561089,50
1621561119,50
1621561149,50
1621561179,50
1621561209,48
1621561239,48
1621561269,48
1621561299,48
1621561329,48
1621561359,48
1621561389,48
1621561419,48
1621561449,48
1621561479,48
1621561509,48
1621561539,48
1621561569,48
1621561599,48
1621561629,48
1621561659,48
1621561689,48
1621561719,48
1621561749,48
1621561779,48
1621561809,48
1621561839,48
1621561869,48
1621561899,48
1621561929,48
1621561959,48
1621561989,48
1621562019,48
1621562049,48
1621562079,48
1621562109,36
1621562139,36
1621562169,36
