t,value
1621477378,0
1621477408,0
1621477438,0
1621477468,0
1621477498,0
1621477528,0
1621477558,0
1621477588,0
1621477618,0
1621477648,0
1621477678,0
1621477708,0
1621477738,0
1621477768,0
1621477798,0
1621477828,0
1621477858,0
1621477888,0
1621477918,0
1621477948,0
1621477978,0
1621478008,0
1621478038,0
1621478068,0
1621478098,0
1621478128,0
1621478158,0
1621478188,0
1621478218,0
1621478248,0
1621478278,0
1621478308,0
1621478338,0
1621478368,0
1621478398,0
1621478428,0
1621478458,0
1621478488,0
1621478518,0
1621478548,0
1621478578,0
1621478608,0
1621478638,0
1621478668,0
1621478698,0
1621478728,0
1621478758,0
1621478788,0
1621478818,0
1621478848,0
1621478878,0
1621478908,0
1621478938,0
1621478968,0
1621478998,0
1621479028,0
1621479058,0
1621479088,0
1621479118,0
1621479148,18
1621479178,18
1621479208,18
1621519414,18
1621519444,18
1621519474,18
1621519504,18
1621519534,18
1621519564,18
1621519594,18
1621519624,18
1621519654,18
1621519684,18
1621519714,18
1621519744,18
1621519774,18
1621519804,18
1621519834,18
1621519864,18
1621519894,18
1621519924,18
1621519954,18
1621519984,18
1621520014,88
1621520044,88
1621520074,88
1621520104,88
1621520134,130
1621520164,130
1621520194,130
1621520224,130
1621520254,131
1621520284,131
1621520314,131
1621520344,131
1621520374,131
1621520404,131
1621520434,131
1621520464,131
1621520494,131
1621520524,131
1621520554,131
1621520584,131
1621520614,131
1621520644,131
1621520674,131
1621520704,131
1621520734,131
1621520764,131
1621520794,131
1621520824,131
1621520854,131
1621520884,131
1621520914,131
1621520944,131
1621520974,131
1621557639,131
1621557669,131
1621557699,131
1621557729,131
1621557759,131
1621557789,131
1621557819,131
1621557849,131
1621557879,131
1621557909,131
1621557939,131
1621557969,131
1621557999,131
1621558029,131
1621558059,131
1621558089,131
1621558119,131
1621558149,131
1621558179,131
1621558209,131
1621558239,131
1621558269,131
1621558299,131
1621558329,131
1621558359,131
1621558389,131
1621558419,131
1621558449,131
1621558479,131
1621558509,131
1621558539,131
1621558569,131
1621558599,131
1621558629,131
1621558659,131
1621558689,131
1621558719,131
1621558749,131
1621558779,131
1621558809,131
1621558839,131
1621558869,131
1621558899,131
1621558929,131
1621558959,131
1621558989,131
1621559019,131
1621559049,131
1621559079,131
1621559109,131
1621559139,131
1621559169,131
1621559199,131
1621559229,131
1621559259,131
1621559289,131
1621559319,149
1621559349,149
1621559379,149
1621559409,149
1621559439,149
1621559469,149
1621559499,149
1621559529,149
1621559559,149
1621559589,149
1621559619,149
1621559649,149
1621559679,149
1621559709,149
1621559739,149
1621559769,149
1621559799,149
1621559829,149
1621559859,149
1621559889,149
1621559919,149
1621559949,149
1621559979,149
1621560009,149
1621560039,149
1621560069,149
1621560099,149
1621560129,149
1621560159,149
1621560189,149
1621560219,149
1621560249,149
1621560279,149
1621560309,149
1621560339,149
1621560369,149
1621560399,149
1621560429,149
1621560459,149
1621560489,149
1621560519,149
1621560549,149
1621560579,149
1621560609,149
1621560639,149
1621560669,149
1621560699,149
1621560729,149
1621560759,149
1621560789,149
1621560819,149
1621560849,149
1621560879,149
1621560909,149
1621560939,149
1621560969,149
1621560999,149
1621561029,149
1621561059,149
1621561089,149
1621561119,149
1621561149,149
1621561179,149
1621561209,149
1621561239,149
1621561269,149
1621561299,149
1621561329,149
1621561359,149
1621561389,149
1621561419,149
1621561449,149
1621561479,149
1621561509,149
1621561539,149
1621561569,149
1621561599,149
1621561629,149
1621561659,149
1621561689,149
1621561719,149
1621561749,149
1621561779,149
1621561809,149
1621561839,149
1621561869,149
1621561899,149
1621561929,149
1621561959,149
1621561989,149
1621562019,149
1621562049,149
1621562079,149
1621562109,149
1621562139,149
1621562169,149
