t,value
1621477378,0
1621477408,0
1621477438,0
1621477468,0
1621477498,0
1621477528,0
1621477558,0
1621477588,0
1621477618,0
1621477648,0
1621477678,0
1621477708,0
1621477738,0
1621477768,0
1621477798,0
1621477828,0
1621477858,0
1621477888,0
1621477918,0
1621477948,0
1621477978,0
1621478008,0
1621478038,0
1621478068,0
1621478098,0
1621478128,0
1621478158,0
1621478188,0
1621478218,0
1621478248,0
1621478278,0
1621478308,0
1621478338,0
1621478368,0
1621478398,0
1621478428,0
1621478458,0
1621478488,0
1621478518,0
1621478548,0
1621478578,0
1621478608,0
1621478638,0
1621478668,0
1621478698,0
1621478728,0
1621478758,0
1621478788,0
1621478818,0
1621478848,0
1621478878,0
1621478908,0
1621478938,0
1621478968,0
1621478998,0
1621479028,0
1621479058,0
1621479088,0
1621479118,0
1621479148,0
1621479178,0
1621479208,0
1621519414,0
1621519444,0
1621519474,0
1621519504,0
1621519534,0
1621519564,0
1621519594,0
1621519624,0
1621519654,0
1621519684,0
1621519714,0
1621519744,0
1621519774,0
1621519804,0
1621519834,0
1621519864,0
1621519894,0
1621519924,0
1621519954,0
1621519984,0
1621520014,0
1621520044,0
1621520074,0
1621520104,0
1621520134,0
1621520164,0
1621520194,0
1621520224,0
1621520254,0
1621520284,0
1621520314,0
1621520344,0
1621520374,0
1621520404,0
1621520434,0
1621520464,0
1621520494,0
1621520524,0
1621520554,0
1621520584,0
1621520614,0
1621520644,0
1621520674,0
1621520704,0
1621520734,0
1621520764,0
1621520794,0
1621520824,0
1621520854,0
1621520884,0
1621520914,0
1621520944,0
1621520974,0
1621557639,0
1621557669,0
1621557699,0
1621557729,0
1621557759,0
1621557789,0
1621557819,0
1621557849,0
1621557879,0
1621557909,0
1621557939,0
1621557969,0
1621557999,0
1621558029,0
1621558059,0
1621558089,0
1621558119,0
1621558149,0
1621558179,0
1621558209,0
1621558239,0
1621558269,0
1621558299,0
1621558329,0
1621558359,0
1621558389,0
1621558419,0
1621558449,0
1621558479,0
1621558509,0
1621558539,0
1621558569,0
1621558599,0
1621558629,0
1621558659,0
1621558689,0
1621558719,0
1621558749,0
1621558779,0
1621558809,0
1621558839,0
1621558869,0
1621558899,0
1621558929,0
1621558959,0
1621558989,0
1621559019,0
1621559049,0
1621559079,0
1621559109,0
1621559139,0
1621559169,0
1621559199,0
1621559229,0
1621559259,0
1621559289,0
1621559319,0
1621559349,0
1621559379,0
1621559409,0
1621559439,0
1621559469,0
1621559499,0
1621559529,0
1621559559,0
1621559589,0
1621559619,0
1621559649,0
1621559679,0
1621559709,0
1621559739,0
1621559769,0
1621559799,0
1621559829,0
1621559859,0
1621559889,0
1621559919,0
1621559949,0
1621559979,1
1621560009,1
1621560039,1
1621560069,1
1621560099,1
1621560129,1
1621560159,1
1621560189,1
1621560219,61
1621560249,61
1621560279,61
1621560309,61
1621560339,61
1621560369,61
1621560399,61
1621560429,61
1621560459,61
1621560489,61
1621560519,61
1621560549,61
1621560579,61
1621560609,61
1621560639,61
1621560669,61
1621560699,61
1621560729,61
1621560759,61
1621560789,61
1621560819,61
1621560849,61
1621560879,61
1621560909,61
1621560939,61
1621560969,61
1621560999,61
1621561029,61
1621561059,61
1621561089,61
1621561119,61
1621561149,61
1621561179,61
1621561209,61
1621561239,122
1621561269,122
1621561299,122
1621561329,122
1621561359,122
1621561389,183
1621561419,183
1621561449,183
1621561479,183
1621561509,241
1621561539,241
1621561569,241
1621561599,241
1621561629,241
1621561659,241
1621561689,241
1621561719,241
1621561749,241
1621561779,241
1621561809,241
1621561839,241
1621561869,241
1621561899,241
1621561929,241
1621561959,241
1621561989,241
1621562019,241
1621562049,241
1621562079,241
1621562109,241
1621562139,241
1621562169,241
