t,value
1621477378,811008
1621477408,811008
1621477438,811008
1621477468,811008
1621477498,811008
1621477528,811008
1621477558,811008
1621477588,811008
1621477618,811008
1621477648,811008
1621477678,811008
1621477708,811008
1621477738,811008
1621477768,811008
1621477798,811008
1621477828,811008
1621477858,811008
1621477888,811008
1621477918,811008
1621477948,819893
1621477978,819893
1621478008,819893
1621478038,819893
1621478068,819893
1621478098,819893
1621478128,819893
1621478158,819893
1621478188,819893
1621478218,819893
1621478248,819893
1621478278,819893
1621478308,819893
1621478338,819893
1621478368,819893
1621478398,819893
1621478428,819893
1621478458,819893
1621478488,819893
1621478518,819893
1621478548,819893
1621478578,819893
1621478608,819893
1621478638,819893
1621478668,819893
1621478698,819893
1621478728,819893
1621478758,819893
1621478788,819893
1621478818,819893
1621478848,819893
1621478878,819893
1621478908,819893
1621478938,819893
1621478968,819893
1621478998,819893
1621479028,819893
1621479058,819893
1621479088,819893
1621479118,819893
1621479148,852661
1621479178,852661
1621479208,852661
1621519414,860853
1621519444,860853
1621519474,860853
1621519504,860853
1621519534,860853
1621519564,860853
1621519594,860853
1621519624,860853
1621519654,860853
1621519684,860853
1621519714,860853
1621519744,860853
1621519774,860853
1621519804,860853
1621519834,860853
1621519864,860853
1621519894,860853
1621519924,860853
1621519954,860853
1621519984,860853
1621520014,860853
1621520044,860853
1621520074,860853
1621520104,860853
1621520134,860853
1621520164,860853
1621520194,860853
1621520224,860853
1621520254,860853
1621520284,860853
1621520314,860853
1621520344,860853
1621520374,860853
1621520404,860853
1621520434,860853
1621520464,860853
1621520494,860853
1621520524,860853
1621520554,860853
1621520584,885429
1621520614,885429
1621520644,885429
1621520674,885429
1621520704,885429
1621520734,885429
1621520764,885429
1621520794,885429
1621520824,885429
1621520854,885429
1621520884,885429
1621520914,885429
1621520944,885429
1621520974,885429
1621557639,885429
1621557669,885429
1621557699,885429
1621557729,885429
1621557759,885429
1621557789,885429
1621557819,885429
1621557849,885429
1621557879,885429
1621557909,885429
1621557939,885429
1621557969,885429
1621557999,885429
1621558029,885429
1621558059,885429
1621558089,885429
1621558119,885429
1621558149,885429
1621558179,885429
1621558209,885429
1621558239,885429
1621558269,885429
1621558299,885429
1621558329,885429
1621558359,885429
1621558389,885429
1621558419,885429
1621558449,885429
1621558479,885429
1621558509,885429
1621558539,885429
1621558569,885429
1621558599,885429
1621558629,885429
1621558659,885429
1621558689,885429
1621558719,885429
1621558749,885429
1621558779,885429
1621558809,885429
1621558839,885429
1621558869,885429
1621558899,885429
1621558929,885429
1621558959,885429
1621558989,885429
1621559019,885429
1621559049,885429
1621559079,885429
1621559109,885429
1621559139,885429
1621559169,885429
1621559199,885429
1621559229,885429
1621559259,885429
1621559289,885429
1621559319,885429
1621559349,885429
1621559379,885429
1621559409,885429
1621559439,885429
1621559469,885429
1621559499,885429
