t,value
1621477378,811008
1621477408,811008
1621477438,811008
1621477468,811008
1621477498,811008
1621477528,811008
1621477558,811008
1621477588,811008
1621477618,811008
1621477648,811008
1621477678,811008
1621477708,811008
1621477738,811008
1621477768,811008
1621477798,811008
1621477828,811008
1621477858,811008
1621477888,811008
1621477918,811008
1621477948,820021
1621477978,820021
1621478008,820021
1621478038,820021
1621478068,820021
1621478098,820021
1621478128,820021
1621478158,820021
1621478188,820021
1621478218,820021
1621478248,820021
1621478278,820021
1621478308,820021
1621478338,820021
1621478368,820021
1621478398,820021
1621478428,820021
1621478458,820021
1621478488,820021
1621478518,820021
1621478548,820021
1621478578,820021
1621478608,820021
1621478638,820021
1621478668,820021
1621478698,820021
1621478728,820021
1621478758,820021
1621478788,820021
1621478818,820021
1621478848,820021
1621478878,820021
1621478908,820021
1621478938,820021
1621478968,820021
1621478998,820021
1621479028,820021
1621479058,820021
1621479088,820021
1621479118,820021
1621479148,855318
1621479178,855318
1621479208,855318
1621519414,864608
1621519444,864608
1621519474,864608
1621519504,864608
1621519534,864608
1621519564,864608
1621519594,864608
1621519624,864608
1621519654,864608
1621519684,864608
1621519714,864608
1621519744,864608
1621519774,864608
1621519804,864608
1621519834,864608
1621519864,864608
1621519894,864608
1621519924,864608
1621519954,864608
1621519984,871227
1621520014,871227
1621520044,871227
1621520074,871227
1621520104,871227
1621520134,871227
1621520164,871227
1621520194,871227
1621520224,871227
1621520254,871227
1621520284,871227
1621520314,871227
1621520344,871227
1621520374,871227
1621520404,871227
1621520434,871227
1621520464,871227
1621520494,871227
1621520524,871227
1621520554,871227
1621520584,973698
1621520614,973698
1621520644,973698
1621520674,973698
1621520704,973698
1621520734,973698
1621520764,973698
1621520794,973698
1621520824,973698
1621520854,973698
1621520884,973698
1621520914,973698
1621520944,973698
1621520974,973698
1621557639,1020411
1621557669,1020411
1621557699,1020411
1621557729,1020411
1621557759,1020411
1621557789,1020411
1621557819,1020411
1621557849,1020411
1621557879,1020411
1621557909,1020411
1621557939,1020411
1621557969,1020411
1621557999,1020411
1621558029,1020411
1621558059,1020411
1621558089,1020411
1621558119,1020411
1621558149,1020411
1621558179,1020411
1621558209,1020411
1621558239,1020411
1621558269,1020411
1621558299,1020411
1621558329,1020411
1621558359,1020411
1621558389,1020411
1621558419,1020411
1621558449,1020411
1621558479,1020411
1621558509,1020411
1621558539,1020411
1621558569,1020411
1621558599,1020411
1621558629,1020411
1621558659,1020411
1621558689,1020411
1621558719,1020411
1621558749,1020411
1621558779,1020411
1621558809,1066794
1621558839,1066794
1621558869,1066794
1621558899,1066794
1621558929,1066794
1621558959,1066794
1621558989,1066794
1621559019,1066794
1621559049,1066794
1621559079,1066794
1621559109,1066794
1621559139,1066794
1621559169,1066794
1621559199,1066794
1621559229,1066794
1621559259,1066794
1621559289,1066794
