t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1621477378,1,0.031778,0.000000,0.000000,0.000000,events/second
1621477408,1,0.016519,0.000000,0.000000,0.000000,events/second
1621477438,1,0.011046,0.000000,0.000000,0.000000,events/second
1621477468,1,0.008296,0.000000,0.000000,0.000000,events/second
1621477498,1,0.006643,0.000000,0.000000,0.000000,events/second
1621477528,1,0.005538,0.000000,0.000000,0.000000,events/second
1621477558,1,0.004741,0.000000,0.000000,0.000000,events/second
1621477588,1,0.004154,0.000000,0.000000,0.000000,events/second
1621477618,1,0.003695,0.000000,0.000000,0.000000,events/second
1621477648,1,0.003327,0.000000,0.000000,0.000000,events/second
1621477678,1,0.003025,0.000000,0.000000,0.000000,events/second
1621477708,1,0.002773,0.000000,0.000000,0.000000,events/second
1621477738,1,0.002560,0.000000,0.000000,0.000000,events/second
1621477768,1,0.002378,0.000000,0.000000,0.000000,events/second
1621477798,1,0.002219,0.000000,0.000000,0.000000,events/second
1621477828,1,0.002081,0.000000,0.000000,0.000000,events/second
1621477858,1,0.001959,0.000000,0.000000,0.000000,events/second
1621477888,1,0.001850,0.000000,0.000000,0.000000,events/second
1621477918,1,0.001753,0.000000,0.000000,0.000000,events/second
1621477948,1,0.001665,0.000000,0.000000,0.000000,events/second
1621477978,1,0.001586,0.000000,0.000000,0.000000,events/second
1621478008,1,0.001514,0.000000,0.000000,0.000000,events/second
1621478038,1,0.001448,0.000000,0.000000,0.000000,events/second
1621478068,1,0.001388,0.000000,0.000000,0.000000,events/second
1621478098,1,0.001332,0.000000,0.000000,0.000000,events/second
1621478128,1,0.001281,0.000000,0.000000,0.000000,events/second
1621478158,1,0.001234,0.000000,0.000000,0.000000,events/second
1621478188,1,0.001190,0.000000,0.000000,0.000000,events/second
1621478218,1,0.001149,0.000000,0.000000,0.000000,events/second
1621478248,1,0.001110,0.000000,0.000000,0.000000,events/second
1621478278,1,0.001075,0.000000,0.000000,0.000000,events/second
1621478308,1,0.001041,0.000000,0.000000,0.000000,events/second
1621478338,1,0.001010,0.000000,0.000000,0.000000,events/second
1621478368,1,0.000980,0.000000,0.000000,0.000000,events/second
1621478398,1,0.000952,0.000000,0.000000,0.000000,events/second
1621478428,1,0.000925,0.000000,0.000000,0.000000,events/second
1621478458,1,0.000900,0.000000,0.000000,0.000000,events/second
1621478488,1,0.000877,0.000000,0.000000,0.000000,events/second
1621478518,1,0.000854,0.000000,0.000000,0.000000,events/second
1621478548,1,0.000833,0.000000,0.000000,0.000000,events/second
1621478578,1,0.000813,0.000000,0.000000,0.000000,events/second
1621478608,1,0.000793,0.000000,0.000000,0.000000,events/second
1621478638,1,0.000775,0.000000,0.000000,0.000000,events/second
1621478668,1,0.000757,0.000000,0.000000,0.000000,events/second
1621478698,1,0.000740,0.000000,0.000000,0.000000,events/second
1621478728,1,0.000724,0.000000,0.000000,0.000000,events/second
1621478758,1,0.000709,0.000000,0.000000,0.000000,events/second
1621478788,1,0.000694,0.000000,0.000000,0.000000,events/second
1621478818,1,0.000680,0.000000,0.000000,0.000000,events/second
1621478848,1,0.000666,0.000000,0.000000,0.000000,events/second
1621478878,1,0.000653,0.000000,0.000000,0.000000,events/second
1621478908,1,0.000641,0.000000,0.000000,0.000000,events/second
1621478938,1,0.000629,0.000000,0.000000,0.000000,events/second
1621478968,1,0.000617,0.000000,0.000000,0.000000,events/second
1621478998,1,0.000606,0.000000,0.000000,0.000000,events/second
1621479028,1,0.000595,0.000000,0.000000,0.000000,events/second
1621479058,1,0.000585,0.000000,0.000000,0.000000,events/second
1621479088,1,0.000575,0.000000,0.000000,0.000000,events/second
1621479118,1,0.000565,0.000000,0.000000,0.000000,events/second
1621479148,20,0.011108,0.000000,0.000000,0.000000,events/second
1621479178,21,0.011472,0.000000,0.000000,0.000000,events/second
1621479208,21,0.011287,0.000000,0.000000,0.000000,events/second
1621519414,21,0.660704,0.000000,0.000000,0.000000,events/second
1621519444,21,0.343565,0.000000,0.000000,0.000000,events/second
1621519474,21,0.231093,0.000000,0.000000,0.000000,events/second
1621519504,21,0.173547,0.000000,0.000000,0.000000,events/second
1621519534,21,0.139179,0.000000,0.000000,0.000000,events/second
1621519564,21,0.116099,0.000000,0.000000,0.000000,events/second
1621519594,21,0.099584,0.000000,0.000000,0.000000,events/second
1621519624,21,0.087178,0.000000,0.000000,0.000000,events/second
1621519654,21,0.077526,0.000000,0.000000,0.000000,events/second
1621519684,21,0.069796,0.000000,0.000000,0.000000,events/second
1621519714,21,0.063468,0.000000,0.000000,0.000000,events/second
1621519744,21,0.058191,0.000000,0.000000,0.000000,events/second
1621519774,21,0.053726,0.000000,0.000000,0.000000,events/second
1621519804,21,0.049895,0.000000,0.000000,0.000000,events/second
1621519834,21,0.046575,0.000000,0.000000,0.000000,events/second
1621519864,21,0.043670,0.000000,0.000000,0.000000,events/second
