t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1621477378,1829,58.961009,0.000000,0.000000,0.000000,events/second
1621477408,2056,34.258961,0.000000,0.000000,0.000000,events/second
1621477438,2056,22.843049,0.000000,0.000000,0.000000,events/second
1621477468,2283,19.022522,0.000000,0.000000,0.000000,events/second
1621477498,2283,15.219839,0.000000,0.000000,0.000000,events/second
1621477528,2510,13.942006,0.000000,0.000000,0.000000,events/second
1621477558,2510,11.929387,0.000000,0.000000,0.000000,events/second
1621477588,2670,11.114306,0.000000,0.000000,0.000000,events/second
1621477618,2737,10.133065,0.000000,0.000000,0.000000,events/second
1621477648,2913,9.706614,0.000000,0.000000,0.000000,events/second
1621477678,2964,8.980863,0.000000,0.000000,0.000000,events/second
1621477708,3135,8.707096,0.000000,0.000000,0.000000,events/second
1621477738,3191,8.181414,0.000000,0.000000,0.000000,events/second
1621477768,3378,8.041864,0.000000,0.000000,0.000000,events/second
1621477798,3418,7.594992,0.000000,0.000000,0.000000,events/second
1621477828,3616,7.532859,0.000000,0.000000,0.000000,events/second
1621477858,3645,7.146711,0.000000,0.000000,0.000000,events/second
1621477888,3872,7.170200,0.000000,0.000000,0.000000,events/second
1621477918,3872,6.792891,0.000000,0.000000,0.000000,events/second
1621477948,4099,6.831527,0.000000,0.000000,0.000000,events/second
1621477978,4099,6.506154,0.000000,0.000000,0.000000,events/second
1621478008,4326,6.554534,0.000000,0.000000,0.000000,events/second
1621478038,4326,6.269546,0.000000,0.000000,0.000000,events/second
1621478068,4553,6.323593,0.000000,0.000000,0.000000,events/second
1621478098,4553,6.070673,0.000000,0.000000,0.000000,events/second
1621478128,4784,6.133306,0.000000,0.000000,0.000000,events/second
1621478158,4784,5.906113,0.000000,0.000000,0.000000,events/second
1621478188,5011,5.965375,0.000000,0.000000,0.000000,events/second
1621478218,5011,5.759695,0.000000,0.000000,0.000000,events/second
1621478248,5238,5.820016,0.000000,0.000000,0.000000,events/second
1621478278,5238,5.632228,0.000000,0.000000,0.000000,events/second
1621478308,5465,5.692716,0.000000,0.000000,0.000000,events/second
