t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1621477378,68,2.190312,0.000000,0.000000,0.000000,events/second
1621477408,68,1.133038,0.000000,0.000000,0.000000,events/second
1621477438,68,0.755492,0.000000,0.000000,0.000000,events/second
1621477468,68,0.566582,0.000000,0.000000,0.000000,events/second
1621477498,68,0.453322,0.000000,0.000000,0.000000,events/second
1621477528,68,0.377707,0.000000,0.000000,0.000000,events/second
1621477558,68,0.323180,0.000000,0.000000,0.000000,events/second
1621477588,68,0.283057,0.000000,0.000000,0.000000,events/second
1621477618,68,0.251749,0.000000,0.000000,0.000000,events/second
1621477648,68,0.226584,0.000000,0.000000,0.000000,events/second
1621477678,68,0.206037,0.000000,0.000000,0.000000,events/second
1621477708,68,0.188861,0.000000,0.000000,0.000000,events/second
1621477738,68,0.174344,0.000000,0.000000,0.000000,events/second
1621477768,68,0.161884,0.000000,0.000000,0.000000,events/second
1621477798,68,0.151099,0.000000,0.000000,0.000000,events/second
1621477828,68,0.141657,0.000000,0.000000,0.000000,events/second
1621477858,68,0.133326,0.000000,0.000000,0.000000,events/second
1621477888,68,0.125922,0.000000,0.000000,0.000000,events/second
1621477918,68,0.119296,0.000000,0.000000,0.000000,events/second
1621477948,68,0.113331,0.000000,0.000000,0.000000,events/second
1621477978,68,0.107933,0.000000,0.000000,0.000000,events/second
1621478008,68,0.103030,0.000000,0.000000,0.000000,events/second
1621478038,68,0.098550,0.000000,0.000000,0.000000,events/second
1621478068,68,0.094444,0.000000,0.000000,0.000000,events/second
1621478098,68,0.090667,0.000000,0.000000,0.000000,events/second
1621478128,68,0.087179,0.000000,0.000000,0.000000,events/second
1621478158,68,0.083950,0.000000,0.000000,0.000000,events/second
1621478188,68,0.080951,0.000000,0.000000,0.000000,events/second
1621478218,68,0.078160,0.000000,0.000000,0.000000,events/second
1621478248,68,0.075556,0.000000,0.000000,0.000000,events/second
1621478278,68,0.073118,0.000000,0.000000,0.000000,events/second
1621478308,68,0.070833,0.000000,0.000000,0.000000,events/second
1621478338,68,0.068686,0.000000,0.000000,0.000000,events/second
1621478368,68,0.066666,0.000000,0.000000,0.000000,events/second
1621478398,68,0.064760,0.000000,0.000000,0.000000,events/second
1621478428,68,0.062962,0.000000,0.000000,0.000000,events/second
1621478458,68,0.061260,0.000000,0.000000,0.000000,events/second
1621478488,68,0.059648,0.000000,0.000000,0.000000,events/second
1621478518,68,0.058119,0.000000,0.000000,0.000000,events/second
1621478548,68,0.056666,0.000000,0.000000,0.000000,events/second
1621478578,68,0.055284,0.000000,0.000000,0.000000,events/second
1621478608,68,0.053968,0.000000,0.000000,0.000000,events/second
1621478638,68,0.052713,0.000000,0.000000,0.000000,events/second
1621478668,68,0.051515,0.000000,0.000000,0.000000,events/second
1621478698,68,0.050370,0.000000,0.000000,0.000000,events/second
1621478728,68,0.049275,0.000000,0.000000,0.000000,events/second
1621478758,68,0.048227,0.000000,0.000000,0.000000,events/second
1621478788,68,0.047222,0.000000,0.000000,0.000000,events/second
1621478818,68,0.046258,0.000000,0.000000,0.000000,events/second
1621478848,68,0.045333,0.000000,0.000000,0.000000,events/second
1621478878,68,0.044444,0.000000,0.000000,0.000000,events/second
1621478908,68,0.043590,0.000000,0.000000,0.000000,events/second
1621478938,68,0.042767,0.000000,0.000000,0.000000,events/second
1621478968,68,0.041975,0.000000,0.000000,0.000000,events/second
1621478998,68,0.041212,0.000000,0.000000,0.000000,events/second
1621479028,68,0.040476,0.000000,0.000000,0.000000,events/second
1621479058,68,0.039766,0.000000,0.000000,0.000000,events/second
1621479088,68,0.039080,0.000000,0.000000,0.000000,events/second
1621479118,70,0.039548,0.000000,0.000000,0.000000,events/second
1621479148,74,0.041111,0.000000,0.000000,0.000000,events/second
1621479178,75,0.040984,0.000000,0.000000,0.000000,events/second
1621479208,75,0.040323,0.000000,0.000000,0.000000,events/second
1621519414,282,9.094366,0.000000,0.000000,0.000000,events/second
1621519444,282,4.677505,0.000000,0.000000,0.000000,events/second
1621519474,282,3.133338,0.000000,0.000000,0.000000,events/second
1621519504,282,2.347204,0.000000,0.000000,0.000000,events/second
1621519534,282,1.879852,0.000000,0.000000,0.000000,events/second
1621519564,282,1.566599,0.000000,0.000000,0.000000,events/second
1621519594,282,1.342815,0.000000,0.000000,0.000000,events/second
1621519624,282,1.174934,0.000000,0.000000,0.000000,events/second
1621519654,282,1.044427,0.000000,0.000000,0.000000,events/second
1621519684,282,0.939988,0.000000,0.000000,0.000000,events/second
1621519714,282,0.854533,0.000000,0.000000,0.000000,events/second
1621519744,282,0.783315,0.000000,0.000000,0.000000,events/second
1621519774,282,0.723080,0.000000,0.000000,0.000000,events/second
1621519804,282,0.671414,0.000000,0.000000,0.000000,events/second
1621519834,282,0.626652,0.000000,0.000000,0.000000,events/second
1621519864,282,0.587494,0.000000,0.000000,0.000000,events/second
1621519894,282,0.552931,0.000000,0.000000,0.000000,events/second
