t,value
1621477378,46
1621477408,46
1621477438,46
1621477468,46
1621477498,46
1621477528,46
1621477558,46
1621477588,46
1621477618,46
1621477648,46
1621477678,46
1621477708,46
1621477738,46
1621477768,46
1621477798,46
1621477828,46
1621477858,46
1621477888,46
1621477918,46
1621477948,46
1621477978,46
1621478008,46
1621478038,46
1621478068,46
1621478098,46
1621478128,46
1621478158,46
1621478188,46
1621478218,46
1621478248,46
1621478278,46
1621478308,46
1621478338,46
1621478368,46
1621478398,46
1621478428,46
1621478458,46
1621478488,46
1621478518,46
1621478548,46
1621478578,46
1621478608,46
1621478638,46
1621478668,46
1621478698,46
1621478728,46
1621478758,46
1621478788,46
1621478818,46
1621478848,46
1621478878,46
1621478908,46
1621478938,46
1621478968,46
1621478998,46
1621479028,46
1621479058,46
1621479088,46
1621479118,46
1621479148,46
1621479178,46
1621479208,46
1621519414,46
1621519444,46
1621519474,46
1621519504,46
1621519534,46
1621519564,46
1621519594,46
1621519624,46
1621519654,46
1621519684,46
1621519714,46
1621519744,46
1621519774,46
1621519804,46
1621519834,46
1621519864,46
1621519894,46
1621519924,46
1621519954,46
1621519984,46
1621520014,46
1621520044,46
1621520074,46
1621520104,46
1621520134,46
1621520164,46
1621520194,46
1621520224,46
1621520254,46
1621520284,46
1621520314,46
1621520344,46
1621520374,46
1621520404,46
1621520434,46
1621520464,46
1621520494,46
1621520524,46
1621520554,46
1621520584,46
1621520614,46
1621520644,46
1621520674,46
1621520704,46
1621520734,46
1621520764,46
1621520794,46
1621520824,46
1621520854,46
1621520884,46
1621520914,46
1621520944,46
1621520974,46
1621557639,46
1621557669,46
1621557699,46
1621557729,46
1621557759,46
1621557789,46
1621557819,46
1621557849,46
1621557879,46
1621557909,46
1621557939,46
1621557969,46
1621557999,46
1621558029,46
1621558059,46
1621558089,46
1621558119,46
1621558149,46
1621558179,46
1621558209,46
1621558239,46
1621558269,46
1621558299,46
1621558329,46
1621558359,46
1621558389,46
1621558419,46
1621558449,46
1621558479,46
1621558509,46
1621558539,46
1621558569,46
1621558599,46
1621558629,46
1621558659,46
1621558689,46
1621558719,46
1621558749,46
1621558779,46
1621558809,46
1621558839,46
1621558869,46
1621558899,46
1621558929,46
1621558959,46
1621558989,46
1621559019,46
1621559049,46
1621559079,46
1621559109,46
1621559139,46
1621559169,46
1621559199,46
1621559229,46
1621559259,46
1621559289,46
1621559319,46
1621559349,46
1621559379,46
1621559409,46
1621559439,46
1621559469,46
1621559499,46
1621559529,46
1621559559,46
1621559589,46
1621559619,46
1621559649,46
1621559679,46
1621559709,46
1621559739,46
1621559769,46
1621559799,46
1621559829,46
1621559859,46
1621559889,46
1621559919,46
1621559949,46
1621559979,46
1621560009,46
1621560039,46
1621560069,46
1621560099,46
1621560129,46
1621560159,46
1621560189,46
1621560219,46
1621560249,46
1621560279,46
1621560309,46
1621560339,46
1621560369,46
1621560399,46
1621560429,46
1621560459,46
1621560489,46
1621560519,46
1621560549,46
1621560579,46
1621560609,46
1621560639,46
1621560669,46
1621560699,46
1621560729,46
1621560759,46
1621560789,46
1621560819,46
1621560849,46
1621560879,46
1621560909,46
1621560939,46
1621560969,46
1621560999,46
1621561029,46
1621561059,46
1621561089,46
1621561119,46
1621561149,46
1621561179,46
1621561209,46
1621561239,46
1621561269,46
1621561299,46
1621561329,46
1621561359,46
1621561389,46
1621561419,46
1621561449,46
1621561479,46
1621561509,46
1621561539,46
1621561569,46
1621561599,46
1621561629,46
1621561659,46
1621561689,46
1621561719,46
1621561749,46
1621561779,46
1621561809,46
1621561839,46
1621561869,46
1621561899,46
1621561929,46
1621561959,46
1621561989,46
1621562019,46
1621562049,46
1621562079,46
1621562109,46
1621562139,46
1621562169,46
1621562199,46
1621562229,46
1621701756,46
1621701786,46
1621701816,46
1621701846,46
1621701876,46
1621701906,46
1621701936,46
1621701966,46
1621701996,46
1621702026,46
1621702056,46
1621702086,46
1621702116,46
1621702146,46
1621702176,46
1621702206,46
