t,value
1621477378,85
1621477408,85
1621477438,85
1621477468,85
1621477498,85
1621477528,85
1621477558,85
1621477588,85
1621477618,85
1621477648,85
1621477678,85
1621477708,85
1621477738,85
1621477768,85
1621477798,85
1621477828,85
1621477858,85
1621477888,85
1621477918,85
1621477948,85
1621477978,85
1621478008,85
1621478038,85
1621478068,85
1621478098,85
1621478128,85
1621478158,85
1621478188,85
1621478218,85
1621478248,85
1621478278,85
1621478308,85
1621478338,85
1621478368,85
1621478398,85
1621478428,85
1621478458,85
1621478488,85
1621478518,85
1621478548,85
1621478578,85
1621478608,85
1621478638,85
1621478668,85
1621478698,85
1621478728,85
1621478758,85
1621478788,85
1621478818,85
1621478848,85
1621478878,85
1621478908,85
1621478938,85
1621478968,85
1621478998,85
1621479028,85
1621479058,85
1621479088,85
1621479118,85
1621479148,85
1621479178,85
1621479208,85
1621519414,85
1621519444,85
1621519474,85
1621519504,85
1621519534,85
1621519564,85
1621519594,85
1621519624,85
1621519654,85
1621519684,85
1621519714,85
1621519744,85
1621519774,85
1621519804,85
1621519834,85
1621519864,85
1621519894,85
1621519924,85
1621519954,85
1621519984,85
1621520014,85
1621520044,85
1621520074,85
1621520104,85
1621520134,85
1621520164,85
1621520194,85
1621520224,85
1621520254,85
1621520284,85
1621520314,85
1621520344,85
1621520374,85
1621520404,85
1621520434,85
1621520464,85
1621520494,85
1621520524,85
1621520554,85
1621520584,85
1621520614,85
1621520644,85
1621520674,85
1621520704,85
1621520734,85
1621520764,85
1621520794,85
1621520824,85
1621520854,85
1621520884,85
1621520914,85
1621520944,85
1621520974,85
1621557639,85
1621557669,85
1621557699,85
1621557729,85
1621557759,85
1621557789,85
1621557819,85
1621557849,85
1621557879,85
1621557909,85
1621557939,85
1621557969,85
1621557999,85
1621558029,85
1621558059,85
1621558089,85
1621558119,85
1621558149,85
1621558179,85
1621558209,85
1621558239,85
1621558269,85
1621558299,85
1621558329,85
1621558359,85
1621558389,85
1621558419,85
1621558449,85
1621558479,85
1621558509,85
1621558539,85
1621558569,85
1621558599,85
1621558629,85
1621558659,85
1621558689,85
1621558719,85
1621558749,85
1621558779,85
1621558809,85
1621558839,85
1621558869,85
1621558899,85
1621558929,85
1621558959,85
1621558989,85
1621559019,85
1621559049,85
1621559079,85
1621559109,85
1621559139,85
1621559169,85
1621559199,85
1621559229,85
1621559259,85
1621559289,85
1621559319,85
1621559349,85
1621559379,85
1621559409,85
1621559439,85
1621559469,85
1621559499,85
1621559529,85
1621559559,85
1621559589,85
1621559619,85
1621559649,85
1621559679,85
1621559709,85
1621559739,85
1621559769,85
1621559799,85
1621559829,85
1621559859,85
1621559889,85
1621559919,85
1621559949,85
1621559979,85
1621560009,85
1621560039,85
1621560069,85
1621560099,85
1621560129,85
1621560159,85
1621560189,85
1621560219,85
1621560249,85
1621560279,85
1621560309,85
1621560339,85
1621560369,85
1621560399,85
1621560429,85
1621560459,85
1621560489,85
1621560519,85
1621560549,85
1621560579,85
1621560609,85
1621560639,85
1621560669,85
1621560699,85
1621560729,85
1621560759,85
1621560789,85
1621560819,85
1621560849,85
1621560879,85
1621560909,85
1621560939,85
1621560969,85
1621560999,85
1621561029,85
1621561059,85
1621561089,85
1621561119,85
1621561149,85
1621561179,85
1621561209,85
1621561239,85
1621561269,85
1621561299,85
1621561329,85
1621561359,85
1621561389,85
1621561419,85
1621561449,85
1621561479,85
1621561509,85
1621561539,85
1621561569,85
1621561599,85
1621561629,85
1621561659,85
1621561689,85
1621561719,85
1621561749,85
1621561779,85
1621561809,85
1621561839,85
1621561869,85
1621561899,85
1621561929,85
1621561959,85
1621561989,85
1621562019,85
1621562049,85
1621562079,85
1621562109,85
1621562139,85
1621562169,85
1621562199,85
1621562229,85
1621701756,85
1621701786,85
1621701816,85
1621701846,85
1621701876,85
1621701906,85
1621701936,85
1621701966,85
1621701996,85
1621702026,85
1621702056,85
1621702086,85
1621702116,85
1621702146,85
1621702176,85
1621702206,85
1621702236,85
1621702266,85
1621702296,85
1621702326,85
1621702356,85
1621702386,85
1621702416,85
1621702446,85
1621702476,85
1621702506,85
1621702536,85
1621702566,85
1621702596,85
1621702626,85
1621702656,85
1621702686,85
1621702716,85
1621702746,85
1621702776,85
1621702806,85
1621702836,85
1621702866,85
1621702896,85
1621702926,85
1621702956,85
1621702986,85
1621703016,85
1621703046,85
1621703076,85
1621703106,85
1621703136,85
1621703166,85
1621703196,85
1621703226,85
1621703256,85
1621703286,85
1621703316,85
1621703346,85
1621703376,85
1621703406,85
1621703436,85
1621703466,85
1621703496,85
1621703526,85
1621703556,85
1621703586,85
1621703616,85
1621703646,85
1621703676,85
1621703706,85
1621703736,85
1621703766,85
1621703796,85
1621703826,85
1621703856,85
1621703886,85
1621703916,85
