t,value
1621477378,811008
1621477408,811008
1621477438,811008
1621477468,811008
1621477498,811008
1621477528,811008
1621477558,811008
1621477588,811008
1621477618,811008
1621477648,811008
1621477678,811008
1621477708,811008
1621477738,811008
1621477768,811008
1621477798,811008
1621477828,811008
1621477858,811008
1621477888,811008
1621477918,811008
1621477948,942836
1621477978,942836
1621478008,942836
1621478038,942836
1621478068,942836
1621478098,942836
1621478128,942836
1621478158,942836
1621478188,942836
1621478218,942836
1621478248,942836
1621478278,942836
1621478308,942836
1621478338,942836
1621478368,942836
1621478398,942836
1621478428,942836
1621478458,942836
1621478488,942836
1621478518,942836
1621478548,942836
1621478578,942836
1621478608,942836
1621478638,942836
1621478668,942836
1621478698,942836
1621478728,942836
1621478758,942836
1621478788,942836
1621478818,942836
1621478848,942836
1621478878,942836
1621478908,942836
1621478938,942836
1621478968,942836
1621478998,942836
1621479028,942836
1621479058,942836
1621479088,942836
1621479118,942836
1621479148,1057524
1621479178,1057524
1621479208,1057524
1621519414,1057524
1621519444,1057524
1621519474,1057524
1621519504,1057524
1621519534,1057524
1621519564,1057524
1621519594,1057524
1621519624,1057524
1621519654,1057524
1621519684,1057524
1621519714,1057524
1621519744,1057524
1621519774,1057524
1621519804,1057524
1621519834,1057524
1621519864,1057524
1621519894,1057524
1621519924,1057524
1621519954,1057524
1621519984,1057524
1621520014,1057524
1621520044,1057524
1621520074,1057524
1621520104,1057524
1621520134,1057524
1621520164,1057524
1621520194,1057524
1621520224,1057524
1621520254,1057524
1621520284,1057524
1621520314,1057524
1621520344,1057524
1621520374,1057524
1621520404,1057524
1621520434,1057524
1621520464,1057524
1621520494,1057524
1621520524,1057524
1621520554,1057524
1621520584,1057524
1621520614,1057524
1621520644,1057524
1621520674,1057524
1621520704,1057524
1621520734,1057524
1621520764,1057524
1621520794,1057524
1621520824,1057524
1621520854,1057524
1621520884,1057524
1621520914,1057524
1621520944,1057524
1621520974,1057524
1621557639,1057524
1621557669,1057524
1621557699,1057524
1621557729,1057524
1621557759,1057524
1621557789,1057524
1621557819,1057524
1621557849,1057524
1621557879,1057524
1621557909,1057524
1621557939,1057524
1621557969,1057524
1621557999,1057524
1621558029,1057524
1621558059,1057524
1621558089,1057524
1621558119,1057524
1621558149,1057524
1621558179,1057524
1621558209,1057524
1621558239,1057524
1621558269,1057524
1621558299,1057524
1621558329,1057524
1621558359,1057524
1621558389,1057524
1621558419,1057524
1621558449,1057524
1621558479,1057524
1621558509,1057524
1621558539,1057524
1621558569,1057524
1621558599,1057524
1621558629,1057524
1621558659,1057524
1621558689,1057524
1621558719,1057524
1621558749,1057524
1621558779,1057524
1621558809,1057524
1621558839,1057524
1621558869,1057524
1621558899,1057524
1621558929,1057524
1621558959,1057524
1621558989,1057524
1621559019,1057524
1621559049,1057524
1621559079,1057524
1621559109,1057524
