t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1621477378,114,3.355311,0.000000,0.000000,0.000000,events/second
1621477408,114,1.813592,0.000000,0.000000,0.000000,events/second
1621477438,114,1.227780,0.000000,0.000000,0.000000,events/second
1621477468,114,0.927873,0.000000,0.000000,0.000000,events/second
1621477498,114,0.745847,0.000000,0.000000,0.000000,events/second
1621477528,114,0.623371,0.000000,0.000000,0.000000,events/second
1621477558,114,0.534568,0.000000,0.000000,0.000000,events/second
1621477588,114,0.468980,0.000000,0.000000,0.000000,events/second
1621477618,114,0.417637,0.000000,0.000000,0.000000,events/second
1621477648,114,0.376280,0.000000,0.000000,0.000000,events/second
1621477678,114,0.342465,0.000000,0.000000,0.000000,events/second
1621477708,114,0.314138,0.000000,0.000000,0.000000,events/second
1621477738,114,0.290167,0.000000,0.000000,0.000000,events/second
1621477768,114,0.269569,0.000000,0.000000,0.000000,events/second
1621477798,114,0.251723,0.000000,0.000000,0.000000,events/second
1621477828,114,0.236086,0.000000,0.000000,0.000000,events/second
1621477858,114,0.222278,0.000000,0.000000,0.000000,events/second
1621477888,114,0.210000,0.000000,0.000000,0.000000,events/second
1621477918,114,0.199004,0.000000,0.000000,0.000000,events/second
1621477948,114,0.189100,0.000000,0.000000,0.000000,events/second
1621477978,114,0.180134,0.000000,0.000000,0.000000,events/second
1621478008,114,0.171986,0.000000,0.000000,0.000000,events/second
1621478038,114,0.164539,0.000000,0.000000,0.000000,events/second
1621478068,114,0.157710,0.000000,0.000000,0.000000,events/second
1621478098,114,0.151426,0.000000,0.000000,0.000000,events/second
1621478128,115,0.146900,0.000000,0.000000,0.000000,events/second
1621478158,115,0.141477,0.000000,0.000000,0.000000,events/second
1621478188,115,0.136440,0.000000,0.000000,0.000000,events/second
1621478218,115,0.131751,0.000000,0.000000,0.000000,events/second
1621478248,115,0.127376,0.000000,0.000000,0.000000,events/second
1621478278,115,0.123278,0.000000,0.000000,0.000000,events/second
1621478308,115,0.119438,0.000000,0.000000,0.000000,events/second
1621478338,115,0.115828,0.000000,0.000000,0.000000,events/second
1621478368,115,0.112431,0.000000,0.000000,0.000000,events/second
1621478398,115,0.109226,0.000000,0.000000,0.000000,events/second
1621478428,115,0.106201,0.000000,0.000000,0.000000,events/second
1621478458,115,0.103337,0.000000,0.000000,0.000000,events/second
1621478488,115,0.100625,0.000000,0.000000,0.000000,events/second
1621478518,115,0.098051,0.000000,0.000000,0.000000,events/second
1621478548,115,0.095605,0.000000,0.000000,0.000000,events/second
1621478578,115,0.093280,0.000000,0.000000,0.000000,events/second
1621478608,115,0.091064,0.000000,0.000000,0.000000,events/second
1621478638,115,0.088951,0.000000,0.000000,0.000000,events/second
1621478668,115,0.086933,0.000000,0.000000,0.000000,events/second
1621478698,115,0.085006,0.000000,0.000000,0.000000,events/second
1621478728,115,0.083161,0.000000,0.000000,0.000000,events/second
1621478758,115,0.081396,0.000000,0.000000,0.000000,events/second
1621478788,115,0.079703,0.000000,0.000000,0.000000,events/second
1621478818,115,0.078079,0.000000,0.000000,0.000000,events/second
1621478848,115,0.076522,0.000000,0.000000,0.000000,events/second
1621478878,115,0.075024,0.000000,0.000000,0.000000,events/second
1621478908,116,0.074224,0.000000,0.000000,0.000000,events/second
1621478938,116,0.072825,0.000000,0.000000,0.000000,events/second
1621478968,116,0.071479,0.000000,0.000000,0.000000,events/second
1621478998,116,0.070182,0.000000,0.000000,0.000000,events/second
1621479028,116,0.068931,0.000000,0.000000,0.000000,events/second
1621479058,116,0.067723,0.000000,0.000000,0.000000,events/second
1621479088,116,0.066558,0.000000,0.000000,0.000000,events/second
1621479118,116,0.065432,0.000000,0.000000,0.000000,events/second
1621479148,132,0.073217,0.000000,0.000000,0.000000,events/second
1621479178,147,0.080203,0.000000,0.000000,0.000000,events/second
1621479208,150,0.080522,0.000000,0.000000,0.000000,events/second
1621519414,16,0.475730,0.000000,0.000000,0.000000,events/second
1621519444,16,0.254470,0.000000,0.000000,0.000000,events/second
1621519474,16,0.172821,0.000000,0.000000,0.000000,events/second
1621519504,16,0.130367,0.000000,0.000000,0.000000,events/second
1621519534,31,0.203154,0.000000,0.000000,0.000000,events/second
1621519564,34,0.186210,0.000000,0.000000,0.000000,events/second
1621519594,40,0.188157,0.000000,0.000000,0.000000,events/second
1621519624,43,0.177250,0.000000,0.000000,0.000000,events/second
1621519654,49,0.179758,0.000000,0.000000,0.000000,events/second
1621519684,52,0.171853,0.000000,0.000000,0.000000,events/second
1621519714,58,0.174391,0.000000,0.000000,0.000000,events/second
1621519744,61,0.168234,0.000000,0.000000,0.000000,events/second
1621519774,67,0.170666,0.000000,0.000000,0.000000,events/second
1621519804,70,0.165645,0.000000,0.000000,0.000000,events/second
1621519834,76,0.167922,0.000000,0.000000,0.000000,events/second
1621519864,82,0.169918,0.000000,0.000000,0.000000,events/second
1621519894,88,0.171677,0.000000,0.000000,0.000000,events/second
1621519924,91,0.167717,0.000000,0.000000,0.000000,events/second
1621519954,103,0.179886,0.000000,0.000000,0.000000,events/second
1621519984,112,0.185864,0.000000,0.000000,0.000000,events/second
1621520014,123,0.194441,0.000000,0.000000,0.000000,events/second
1621520044,126,0.190162,0.000000,0.000000,0.000000,events/second
1621520074,132,0.190589,0.000000,0.000000,0.000000,events/second
1621520104,138,0.190980,0.000000,0.000000,0.000000,events/second
1621520134,147,0.195328,0.000000,0.000000,0.000000,events/second
1621520164,150,0.191673,0.000000,0.000000,0.000000,events/second
1621520194,159,0.195670,0.000000,0.000000,0.000000,events/second
1621520224,162,0.192265,0.000000,0.000000,0.000000,events/second
1621520254,171,0.195971,0.000000,0.000000,0.000000,events/second
1621520284,183,0.202751,0.000000,0.000000,0.000000,events/second
1621520314,195,0.209096,0.000000,0.000000,0.000000,events/second
1621520344,201,0.208814,0.000000,0.000000,0.000000,events/second
1621520374,207,0.208547,0.000000,0.000000,0.000000,events/second
