t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1621477378,51,1.499668,0.000000,0.000000,0.000000,events/second
1621477408,51,0.811394,0.000000,0.000000,0.000000,events/second
1621477438,51,0.549294,0.000000,0.000000,0.000000,events/second
1621477468,51,0.415113,0.000000,0.000000,0.000000,events/second
1621477498,51,0.333677,0.000000,0.000000,0.000000,events/second
1621477528,51,0.278883,0.000000,0.000000,0.000000,events/second
1621477558,51,0.239151,0.000000,0.000000,0.000000,events/second
1621477588,51,0.209805,0.000000,0.000000,0.000000,events/second
1621477618,51,0.186840,0.000000,0.000000,0.000000,events/second
1621477648,51,0.168336,0.000000,0.000000,0.000000,events/second
1621477678,51,0.153210,0.000000,0.000000,0.000000,events/second
1621477708,51,0.140536,0.000000,0.000000,0.000000,events/second
1621477738,51,0.129813,0.000000,0.000000,0.000000,events/second
1621477768,51,0.120598,0.000000,0.000000,0.000000,events/second
1621477798,51,0.112614,0.000000,0.000000,0.000000,events/second
1621477828,51,0.105618,0.000000,0.000000,0.000000,events/second
1621477858,51,0.099441,0.000000,0.000000,0.000000,events/second
1621477888,51,0.093948,0.000000,0.000000,0.000000,events/second
1621477918,51,0.089029,0.000000,0.000000,0.000000,events/second
1621477948,51,0.084598,0.000000,0.000000,0.000000,events/second
1621477978,51,0.080587,0.000000,0.000000,0.000000,events/second
1621478008,51,0.076942,0.000000,0.000000,0.000000,events/second
1621478038,51,0.073610,0.000000,0.000000,0.000000,events/second
1621478068,51,0.070555,0.000000,0.000000,0.000000,events/second
1621478098,51,0.067744,0.000000,0.000000,0.000000,events/second
1621478128,51,0.065147,0.000000,0.000000,0.000000,events/second
1621478158,51,0.062742,0.000000,0.000000,0.000000,events/second
1621478188,51,0.060509,0.000000,0.000000,0.000000,events/second
1621478218,51,0.058429,0.000000,0.000000,0.000000,events/second
1621478248,51,0.056489,0.000000,0.000000,0.000000,events/second
1621478278,51,0.054671,0.000000,0.000000,0.000000,events/second
1621478308,51,0.052968,0.000000,0.000000,0.000000,events/second
1621478338,51,0.051367,0.000000,0.000000,0.000000,events/second
1621478368,51,0.049861,0.000000,0.000000,0.000000,events/second
1621478398,51,0.048439,0.000000,0.000000,0.000000,events/second
1621478428,51,0.047098,0.000000,0.000000,0.000000,events/second
1621478458,51,0.045828,0.000000,0.000000,0.000000,events/second
1621478488,51,0.044625,0.000000,0.000000,0.000000,events/second
1621478518,51,0.043484,0.000000,0.000000,0.000000,events/second
1621478548,51,0.042399,0.000000,0.000000,0.000000,events/second
1621478578,51,0.041368,0.000000,0.000000,0.000000,events/second
1621478608,51,0.040385,0.000000,0.000000,0.000000,events/second
1621478638,51,0.039448,0.000000,0.000000,0.000000,events/second
1621478668,51,0.038553,0.000000,0.000000,0.000000,events/second
1621478698,51,0.037698,0.000000,0.000000,0.000000,events/second
1621478728,51,0.036880,0.000000,0.000000,0.000000,events/second
1621478758,51,0.036097,0.000000,0.000000,0.000000,events/second
1621478788,51,0.035347,0.000000,0.000000,0.000000,events/second
1621478818,51,0.034627,0.000000,0.000000,0.000000,events/second
1621478848,51,0.033936,0.000000,0.000000,0.000000,events/second
1621478878,51,0.033271,0.000000,0.000000,0.000000,events/second
1621478908,51,0.032633,0.000000,0.000000,0.000000,events/second
1621478938,51,0.032018,0.000000,0.000000,0.000000,events/second
1621478968,51,0.031426,0.000000,0.000000,0.000000,events/second
1621478998,51,0.030856,0.000000,0.000000,0.000000,events/second
1621479028,51,0.030306,0.000000,0.000000,0.000000,events/second
1621479058,51,0.029775,0.000000,0.000000,0.000000,events/second
1621479088,51,0.029262,0.000000,0.000000,0.000000,events/second
1621479118,51,0.028767,0.000000,0.000000,0.000000,events/second
1621479148,51,0.028289,0.000000,0.000000,0.000000,events/second
1621479178,51,0.027826,0.000000,0.000000,0.000000,events/second
1621479208,51,0.027378,0.000000,0.000000,0.000000,events/second
1621519414,51,1.516184,0.000000,0.000000,0.000000,events/second
1621519444,51,0.811318,0.000000,0.000000,0.000000,events/second
1621519474,51,0.551049,0.000000,0.000000,0.000000,events/second
1621519504,51,0.415587,0.000000,0.000000,0.000000,events/second
1621519534,51,0.334288,0.000000,0.000000,0.000000,events/second
1621519564,51,0.279362,0.000000,0.000000,0.000000,events/second
1621519594,51,0.239934,0.000000,0.000000,0.000000,events/second
1621519624,51,0.210254,0.000000,0.000000,0.000000,events/second
1621519654,51,0.187116,0.000000,0.000000,0.000000,events/second
1621519684,51,0.168565,0.000000,0.000000,0.000000,events/second
1621519714,51,0.153358,0.000000,0.000000,0.000000,events/second
1621519744,51,0.140667,0.000000,0.000000,0.000000,events/second
1621519774,51,0.129920,0.000000,0.000000,0.000000,events/second
1621519804,51,0.120693,0.000000,0.000000,0.000000,events/second
1621519834,51,0.112692,0.000000,0.000000,0.000000,events/second
1621519864,51,0.105687,0.000000,0.000000,0.000000,events/second
1621519894,51,0.099501,0.000000,0.000000,0.000000,events/second
1621519924,51,0.094001,0.000000,0.000000,0.000000,events/second
1621519954,51,0.089075,0.000000,0.000000,0.000000,events/second
1621519984,51,0.084639,0.000000,0.000000,0.000000,events/second
1621520014,51,0.080626,0.000000,0.000000,0.000000,events/second
1621520044,51,0.076974,0.000000,0.000000,0.000000,events/second
1621520074,51,0.073640,0.000000,0.000000,0.000000,events/second
1621520104,51,0.070582,0.000000,0.000000,0.000000,events/second
1621520134,51,0.067770,0.000000,0.000000,0.000000,events/second
1621520164,51,0.065171,0.000000,0.000000,0.000000,events/second
1621520194,51,0.062765,0.000000,0.000000,0.000000,events/second
1621520224,51,0.060530,0.000000,0.000000,0.000000,events/second
1621520254,51,0.058449,0.000000,0.000000,0.000000,events/second
1621520284,51,0.056506,0.000000,0.000000,0.000000,events/second
1621520314,51,0.054688,0.000000,0.000000,0.000000,events/second
1621520344,51,0.052984,0.000000,0.000000,0.000000,events/second
1621520374,51,0.051383,0.000000,0.000000,0.000000,events/second
1621520404,51,0.049874,0.000000,0.000000,0.000000,events/second
1621520434,51,0.048454,0.000000,0.000000,0.000000,events/second
1621520464,51,0.047111,0.000000,0.000000,0.000000,events/second
1621520494,51,0.045840,0.000000,0.000000,0.000000,events/second
1621520524,51,0.044637,0.000000,0.000000,0.000000,events/second
1621520554,51,0.043495,0.000000,0.000000,0.000000,events/second
1621520584,51,0.042410,0.000000,0.000000,0.000000,events/second
1621520614,51,0.041377,0.000000,0.000000,0.000000,events/second
