t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1621477378,2,0.058762,0.000000,0.000000,0.000000,events/second
1621477408,2,0.031814,0.000000,0.000000,0.000000,events/second
1621477438,2,0.021539,0.000000,0.000000,0.000000,events/second
1621477468,2,0.016278,0.000000,0.000000,0.000000,events/second
1621477498,2,0.013085,0.000000,0.000000,0.000000,events/second
1621477528,2,0.010936,0.000000,0.000000,0.000000,events/second
1621477558,2,0.009378,0.000000,0.000000,0.000000,events/second
1621477588,2,0.008227,0.000000,0.000000,0.000000,events/second
1621477618,2,0.007327,0.000000,0.000000,0.000000,events/second
1621477648,2,0.006601,0.000000,0.000000,0.000000,events/second
1621477678,2,0.006008,0.000000,0.000000,0.000000,events/second
1621477708,2,0.005511,0.000000,0.000000,0.000000,events/second
1621477738,2,0.005091,0.000000,0.000000,0.000000,events/second
1621477768,2,0.004729,0.000000,0.000000,0.000000,events/second
1621477798,2,0.004416,0.000000,0.000000,0.000000,events/second
1621477828,2,0.004142,0.000000,0.000000,0.000000,events/second
1621477858,2,0.003900,0.000000,0.000000,0.000000,events/second
1621477888,2,0.003684,0.000000,0.000000,0.000000,events/second
1621477918,2,0.003491,0.000000,0.000000,0.000000,events/second
1621477948,2,0.003318,0.000000,0.000000,0.000000,events/second
1621477978,2,0.003160,0.000000,0.000000,0.000000,events/second
1621478008,2,0.003017,0.000000,0.000000,0.000000,events/second
1621478038,2,0.002887,0.000000,0.000000,0.000000,events/second
1621478068,2,0.002767,0.000000,0.000000,0.000000,events/second
1621478098,2,0.002657,0.000000,0.000000,0.000000,events/second
1621478128,2,0.002555,0.000000,0.000000,0.000000,events/second
1621478158,2,0.002460,0.000000,0.000000,0.000000,events/second
1621478188,2,0.002373,0.000000,0.000000,0.000000,events/second
1621478218,2,0.002291,0.000000,0.000000,0.000000,events/second
1621478248,2,0.002215,0.000000,0.000000,0.000000,events/second
1621478278,2,0.002144,0.000000,0.000000,0.000000,events/second
1621478308,2,0.002077,0.000000,0.000000,0.000000,events/second
1621478338,2,0.002014,0.000000,0.000000,0.000000,events/second
1621478368,2,0.001955,0.000000,0.000000,0.000000,events/second
1621478398,2,0.001900,0.000000,0.000000,0.000000,events/second
1621478428,2,0.001847,0.000000,0.000000,0.000000,events/second
1621478458,2,0.001797,0.000000,0.000000,0.000000,events/second
1621478488,2,0.001750,0.000000,0.000000,0.000000,events/second
1621478518,2,0.001705,0.000000,0.000000,0.000000,events/second
1621478548,2,0.001663,0.000000,0.000000,0.000000,events/second
1621478578,2,0.001622,0.000000,0.000000,0.000000,events/second
1621478608,2,0.001584,0.000000,0.000000,0.000000,events/second
1621478638,2,0.001547,0.000000,0.000000,0.000000,events/second
1621478668,2,0.001512,0.000000,0.000000,0.000000,events/second
1621478698,2,0.001478,0.000000,0.000000,0.000000,events/second
1621478728,2,0.001446,0.000000,0.000000,0.000000,events/second
1621478758,2,0.001416,0.000000,0.000000,0.000000,events/second
1621478788,2,0.001386,0.000000,0.000000,0.000000,events/second
1621478818,2,0.001358,0.000000,0.000000,0.000000,events/second
1621478848,2,0.001331,0.000000,0.000000,0.000000,events/second
1621478878,2,0.001305,0.000000,0.000000,0.000000,events/second
1621478908,2,0.001280,0.000000,0.000000,0.000000,events/second
1621478938,2,0.001256,0.000000,0.000000,0.000000,events/second
1621478968,2,0.001232,0.000000,0.000000,0.000000,events/second
1621478998,2,0.001210,0.000000,0.000000,0.000000,events/second
1621479028,2,0.001188,0.000000,0.000000,0.000000,events/second
1621479058,2,0.001168,0.000000,0.000000,0.000000,events/second
1621479088,2,0.001148,0.000000,0.000000,0.000000,events/second
1621479118,2,0.001128,0.000000,0.000000,0.000000,events/second
1621479148,2,0.001109,0.000000,0.000000,0.000000,events/second
1621479178,2,0.001091,0.000000,0.000000,0.000000,events/second
1621479208,2,0.001074,0.000000,0.000000,0.000000,events/second
1621519414,1,0.029676,0.000000,0.000000,0.000000,events/second
1621519444,1,0.015898,0.000000,0.000000,0.000000,events/second
1621519474,1,0.010801,0.000000,0.000000,0.000000,events/second
1621519504,1,0.008146,0.000000,0.000000,0.000000,events/second
1621519534,2,0.013106,0.000000,0.000000,0.000000,events/second
1621519564,2,0.010953,0.000000,0.000000,0.000000,events/second
1621519594,2,0.009408,0.000000,0.000000,0.000000,events/second
1621519624,2,0.008244,0.000000,0.000000,0.000000,events/second
1621519654,2,0.007337,0.000000,0.000000,0.000000,events/second
1621519684,2,0.006610,0.000000,0.000000,0.000000,events/second
1621519714,2,0.006013,0.000000,0.000000,0.000000,events/second
1621519744,2,0.005516,0.000000,0.000000,0.000000,events/second
1621519774,2,0.005094,0.000000,0.000000,0.000000,events/second
