t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1621477378,3,0.088108,0.000000,0.000000,0.000000,events/second
1621477408,3,0.047726,0.000000,0.000000,0.000000,events/second
1621477438,3,0.032310,0.000000,0.000000,0.000000,events/second
1621477468,3,0.024418,0.000000,0.000000,0.000000,events/second
1621477498,3,0.019628,0.000000,0.000000,0.000000,events/second
1621477528,3,0.016404,0.000000,0.000000,0.000000,events/second
1621477558,3,0.014067,0.000000,0.000000,0.000000,events/second
1621477588,3,0.012341,0.000000,0.000000,0.000000,events/second
1621477618,3,0.010990,0.000000,0.000000,0.000000,events/second
1621477648,3,0.009902,0.000000,0.000000,0.000000,events/second
1621477678,3,0.009012,0.000000,0.000000,0.000000,events/second
1621477708,3,0.008267,0.000000,0.000000,0.000000,events/second
1621477738,3,0.007636,0.000000,0.000000,0.000000,events/second
1621477768,3,0.007094,0.000000,0.000000,0.000000,events/second
1621477798,3,0.006624,0.000000,0.000000,0.000000,events/second
1621477828,3,0.006213,0.000000,0.000000,0.000000,events/second
1621477858,3,0.005849,0.000000,0.000000,0.000000,events/second
1621477888,3,0.005526,0.000000,0.000000,0.000000,events/second
1621477918,3,0.005237,0.000000,0.000000,0.000000,events/second
1621477948,3,0.004976,0.000000,0.000000,0.000000,events/second
1621477978,3,0.004740,0.000000,0.000000,0.000000,events/second
1621478008,3,0.004526,0.000000,0.000000,0.000000,events/second
1621478038,3,0.004330,0.000000,0.000000,0.000000,events/second
1621478068,3,0.004150,0.000000,0.000000,0.000000,events/second
1621478098,3,0.003985,0.000000,0.000000,0.000000,events/second
1621478128,3,0.003832,0.000000,0.000000,0.000000,events/second
1621478158,3,0.003691,0.000000,0.000000,0.000000,events/second
1621478188,3,0.003559,0.000000,0.000000,0.000000,events/second
1621478218,3,0.003437,0.000000,0.000000,0.000000,events/second
1621478248,3,0.003323,0.000000,0.000000,0.000000,events/second
1621478278,3,0.003216,0.000000,0.000000,0.000000,events/second
1621478308,3,0.003116,0.000000,0.000000,0.000000,events/second
1621478338,3,0.003022,0.000000,0.000000,0.000000,events/second
1621478368,3,0.002933,0.000000,0.000000,0.000000,events/second
1621478398,3,0.002849,0.000000,0.000000,0.000000,events/second
1621478428,3,0.002770,0.000000,0.000000,0.000000,events/second
1621478458,3,0.002696,0.000000,0.000000,0.000000,events/second
1621478488,3,0.002625,0.000000,0.000000,0.000000,events/second
1621478518,3,0.002558,0.000000,0.000000,0.000000,events/second
1621478548,3,0.002494,0.000000,0.000000,0.000000,events/second
1621478578,3,0.002433,0.000000,0.000000,0.000000,events/second
1621478608,3,0.002376,0.000000,0.000000,0.000000,events/second
1621478638,3,0.002320,0.000000,0.000000,0.000000,events/second
1621478668,3,0.002268,0.000000,0.000000,0.000000,events/second
1621478698,3,0.002218,0.000000,0.000000,0.000000,events/second
1621478728,3,0.002169,0.000000,0.000000,0.000000,events/second
1621478758,3,0.002123,0.000000,0.000000,0.000000,events/second
1621478788,3,0.002079,0.000000,0.000000,0.000000,events/second
1621478818,3,0.002037,0.000000,0.000000,0.000000,events/second
1621478848,3,0.001996,0.000000,0.000000,0.000000,events/second
1621478878,3,0.001957,0.000000,0.000000,0.000000,events/second
1621478908,3,0.001920,0.000000,0.000000,0.000000,events/second
1621478938,3,0.001883,0.000000,0.000000,0.000000,events/second
1621478968,3,0.001849,0.000000,0.000000,0.000000,events/second
1621478998,3,0.001815,0.000000,0.000000,0.000000,events/second
1621479028,3,0.001783,0.000000,0.000000,0.000000,events/second
1621479058,3,0.001751,0.000000,0.000000,0.000000,events/second
1621479088,3,0.001721,0.000000,0.000000,0.000000,events/second
1621479118,3,0.001692,0.000000,0.000000,0.000000,events/second
1621479148,3,0.001664,0.000000,0.000000,0.000000,events/second
1621479178,3,0.001637,0.000000,0.000000,0.000000,events/second
1621479208,3,0.001610,0.000000,0.000000,0.000000,events/second
