t,value
1621477378,-1
1621477408,-1
1621477438,-1
1621477468,-1
1621477498,-1
1621477528,-1
1621477558,-1
1621477588,-1
1621477618,-1
1621477648,-1
1621477678,-1
1621477708,-1
1621477738,-1
1621477768,-1
1621477798,-1
1621477828,-1
1621477858,-1
1621477888,-1
1621477918,-1
1621477948,-1
1621477978,-1
1621478008,-1
1621478038,-1
1621478068,-1
1621478098,-1
1621478128,-1
1621478158,-1
1621478188,-1
1621478218,-1
1621478248,-1
1621478278,-1
1621478308,-1
1621478338,-1
1621478368,-1
1621478398,-1
1621478428,-1
1621478458,-1
1621478488,-1
1621478518,-1
1621478548,-1
1621478578,-1
1621478608,-1
1621478638,-1
1621478668,-1
1621478698,-1
1621478728,-1
1621478758,-1
1621478788,-1
1621478818,-1
1621478848,-1
1621478878,-1
1621478908,-1
1621478938,-1
1621478968,-1
1621478998,-1
1621479028,-1
1621479058,-1
1621479088,-1
1621479118,-1
1621479148,-1
1621479178,-1
1621479208,-1
1621519414,-1
1621519444,-1
1621519474,-1
1621519504,-1
1621519534,-1
1621519564,-1
1621519594,-1
1621519624,-1
1621519654,-1
1621519684,-1
1621519714,-1
1621519744,-1
1621519774,-1
1621519804,-1
1621519834,-1
1621519864,-1
1621519894,-1
1621519924,-1
1621519954,-1
1621519984,-1
1621520014,-1
1621520044,-1
1621520074,-1
1621520104,-1
1621520134,-1
1621520164,-1
1621520194,-1
1621520224,-1
1621520254,-1
1621520284,-1
1621520314,-1
1621520344,-1
1621520374,-1
1621520404,-1
1621520434,-1
1621520464,-1
1621520494,-1
1621520524,-1
1621520554,-1
1621520584,-1
1621520614,-1
1621520644,-1
1621520674,-1
1621520704,-1
1621520734,-1
1621520764,-1
1621520794,-1
1621520824,-1
1621520854,-1
1621520884,-1
1621520914,-1
1621520944,-1
1621520974,-1
1621557639,-1
1621557669,-1
1621557699,-1
1621557729,-1
1621557759,-1
1621557789,-1
1621557819,-1
1621557849,-1
1621557879,-1
1621557909,-1
1621557939,-1
1621557969,-1
1621557999,-1
1621558029,-1
1621558059,-1
1621558089,-1
1621558119,-1
1621558149,-1
1621558179,-1
1621558209,-1
1621558239,-1
1621558269,-1
1621558299,-1
1621558329,-1
1621558359,-1
1621558389,-1
1621558419,-1
1621558449,-1
1621558479,-1
1621558509,-1
1621558539,-1
1621558569,-1
1621558599,-1
1621558629,-1
1621558659,-1
1621558689,-1
1621558719,-1
1621558749,-1
1621558779,-1
1621558809,-1
1621558839,-1
1621558869,-1
1621558899,-1
1621558929,-1
1621558959,-1
1621558989,-1
1621559019,-1
1621559049,-1
1621559079,-1
1621559109,-1
1621559139,-1
1621559169,-1
1621559199,-1
1621559229,-1
1621559259,-1
1621559289,-1
1621559319,-1
1621559349,-1
1621559379,-1
1621559409,-1
1621559439,-1
1621559469,-1
1621559499,-1
1621559529,-1
1621559559,-1
1621559589,-1
1621559619,-1
1621559649,-1
1621559679,-1
1621559709,-1
