t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1621477378,210,6.711653,0.000000,0.000000,0.000000,events/second
1621477408,210,3.499460,0.000000,0.000000,0.000000,events/second
1621477438,210,2.333327,0.000000,0.000000,0.000000,events/second
1621477468,210,1.749810,0.000000,0.000000,0.000000,events/second
1621477498,210,1.400036,0.000000,0.000000,0.000000,events/second
1621477528,210,1.166444,0.000000,0.000000,0.000000,events/second
1621477558,210,0.998004,0.000000,0.000000,0.000000,events/second
1621477588,210,0.874087,0.000000,0.000000,0.000000,events/second
1621477618,210,0.777424,0.000000,0.000000,0.000000,events/second
1621477648,210,0.699674,0.000000,0.000000,0.000000,events/second
1621477678,210,0.636301,0.000000,0.000000,0.000000,events/second
1621477708,210,0.583249,0.000000,0.000000,0.000000,events/second
1621477738,210,0.538421,0.000000,0.000000,0.000000,events/second
1621477768,210,0.499941,0.000000,0.000000,0.000000,events/second
1621477798,210,0.466633,0.000000,0.000000,0.000000,events/second
1621477828,210,0.437476,0.000000,0.000000,0.000000,events/second
1621477858,210,0.411746,0.000000,0.000000,0.000000,events/second
1621477888,217,0.401847,0.000000,0.000000,0.000000,events/second
1621477918,217,0.380701,0.000000,0.000000,0.000000,events/second
1621477948,217,0.361663,0.000000,0.000000,0.000000,events/second
1621477978,217,0.344438,0.000000,0.000000,0.000000,events/second
1621478008,217,0.328791,0.000000,0.000000,0.000000,events/second
1621478038,217,0.314495,0.000000,0.000000,0.000000,events/second
1621478068,217,0.301391,0.000000,0.000000,0.000000,events/second
1621478098,217,0.289336,0.000000,0.000000,0.000000,events/second
1621478128,217,0.278206,0.000000,0.000000,0.000000,events/second
1621478158,217,0.267901,0.000000,0.000000,0.000000,events/second
1621478188,217,0.258331,0.000000,0.000000,0.000000,events/second
1621478218,217,0.249424,0.000000,0.000000,0.000000,events/second
1621478248,217,0.241114,0.000000,0.000000,0.000000,events/second
1621478278,217,0.233334,0.000000,0.000000,0.000000,events/second
1621478308,217,0.226044,0.000000,0.000000,0.000000,events/second
1621478338,217,0.219191,0.000000,0.000000,0.000000,events/second
1621478368,217,0.212746,0.000000,0.000000,0.000000,events/second
1621478398,217,0.206664,0.000000,0.000000,0.000000,events/second
1621478428,217,0.200926,0.000000,0.000000,0.000000,events/second
1621478458,217,0.195494,0.000000,0.000000,0.000000,events/second
1621478488,217,0.190350,0.000000,0.000000,0.000000,events/second
1621478518,217,0.185470,0.000000,0.000000,0.000000,events/second
1621478548,217,0.180832,0.000000,0.000000,0.000000,events/second
1621478578,217,0.176423,0.000000,0.000000,0.000000,events/second
1621478608,221,0.175397,0.000000,0.000000,0.000000,events/second
1621478638,221,0.171318,0.000000,0.000000,0.000000,events/second
1621478668,221,0.167424,0.000000,0.000000,0.000000,events/second
1621478698,221,0.163704,0.000000,0.000000,0.000000,events/second
1621478728,221,0.160143,0.000000,0.000000,0.000000,events/second
1621478758,221,0.156738,0.000000,0.000000,0.000000,events/second
1621478788,221,0.153471,0.000000,0.000000,0.000000,events/second
1621478818,221,0.150339,0.000000,0.000000,0.000000,events/second
1621478848,221,0.147334,0.000000,0.000000,0.000000,events/second
1621478878,221,0.144444,0.000000,0.000000,0.000000,events/second
1621478908,221,0.141667,0.000000,0.000000,0.000000,events/second
1621478938,221,0.138994,0.000000,0.000000,0.000000,events/second
1621478968,221,0.136420,0.000000,0.000000,0.000000,events/second
1621478998,221,0.133940,0.000000,0.000000,0.000000,events/second
1621479028,221,0.131548,0.000000,0.000000,0.000000,events/second
1621479058,221,0.129240,0.000000,0.000000,0.000000,events/second
1621479088,221,0.127011,0.000000,0.000000,0.000000,events/second
1621479118,221,0.124859,0.000000,0.000000,0.000000,events/second
1621479148,227,0.126111,0.000000,0.000000,0.000000,events/second
1621479178,227,0.124044,0.000000,0.000000,0.000000,events/second
1621479208,227,0.122043,0.000000,0.000000,0.000000,events/second
1621519414,174,5.585743,0.000000,0.000000,0.000000,events/second
1621519444,174,2.884154,0.000000,0.000000,0.000000,events/second
1621519474,174,1.933624,0.000000,0.000000,0.000000,events/second
1621519504,174,1.448057,0.000000,0.000000,0.000000,events/second
1621519534,187,1.246675,0.000000,0.000000,0.000000,events/second
1621519564,187,1.038919,0.000000,0.000000,0.000000,events/second
1621519594,187,0.890501,0.000000,0.000000,0.000000,events/second
1621519624,187,0.779166,0.000000,0.000000,0.000000,events/second
1621519654,187,0.692609,0.000000,0.000000,0.000000,events/second
1621519684,187,0.623354,0.000000,0.000000,0.000000,events/second
1621519714,187,0.566681,0.000000,0.000000,0.000000,events/second
1621519744,187,0.519452,0.000000,0.000000,0.000000,events/second
1621519774,187,0.479506,0.000000,0.000000,0.000000,events/second
1621519804,187,0.445242,0.000000,0.000000,0.000000,events/second
1621519834,187,0.415559,0.000000,0.000000,0.000000,events/second
1621519864,187,0.389590,0.000000,0.000000,0.000000,events/second
1621519894,187,0.366670,0.000000,0.000000,0.000000,events/second
1621519924,195,0.361121,0.000000,0.000000,0.000000,events/second
1621519954,195,0.342112,0.000000,0.000000,0.000000,events/second
1621519984,195,0.325002,0.000000,0.000000,0.000000,events/second
1621520014,210,0.333339,0.000000,0.000000,0.000000,events/second
1621520044,210,0.318184,0.000000,0.000000,0.000000,events/second
1621520074,210,0.304350,0.000000,0.000000,0.000000,events/second
1621520104,210,0.291669,0.000000,0.000000,0.000000,events/second
1621520134,210,0.280006,0.000000,0.000000,0.000000,events/second
1621520164,210,0.269235,0.000000,0.000000,0.000000,events/second
1621520194,210,0.259261,0.000000,0.000000,0.000000,events/second
1621520224,234,0.278574,0.000000,0.000000,0.000000,events/second
1621520254,234,0.268970,0.000000,0.000000,0.000000,events/second
1621520284,234,0.260003,0.000000,0.000000,0.000000,events/second
1621520314,234,0.251616,0.000000,0.000000,0.000000,events/second
1621520344,234,0.243754,0.000000,0.000000,0.000000,events/second
1621520374,234,0.236367,0.000000,0.000000,0.000000,events/second
1621520404,234,0.229410,0.000000,0.000000,0.000000,events/second
1621520434,234,0.222859,0.000000,0.000000,0.000000,events/second
1621520464,234,0.216667,0.000000,0.000000,0.000000,events/second
1621520494,234,0.210813,0.000000,0.000000,0.000000,events/second
1621520524,234,0.205264,0.000000,0.000000,0.000000,events/second
1621520554,234,0.200002,0.000000,0.000000,0.000000,events/second
1621520584,234,0.195002,0.000000,0.000000,0.000000,events/second
1621520614,234,0.190245,0.000000,0.000000,0.000000,events/second
1621520644,234,0.185715,0.000000,0.000000,0.000000,events/second
1621520674,240,0.186047,0.000000,0.000000,0.000000,events/second
1621520704,240,0.181819,0.000000,0.000000,0.000000,events/second
1621520734,240,0.177778,0.000000,0.000000,0.000000,events/second
1621520764,240,0.173914,0.000000,0.000000,0.000000,events/second
1621520794,240,0.170213,0.000000,0.000000,0.000000,events/second
1621520824,240,0.166668,0.000000,0.000000,0.000000,events/second
1621520854,240,0.163266,0.000000,0.000000,0.000000,events/second
1621520884,240,0.160001,0.000000,0.000000,0.000000,events/second
1621520914,240,0.156864,0.000000,0.000000,0.000000,events/second
1621520944,240,0.153847,0.000000,0.000000,0.000000,events/second
1621520974,240,0.150945,0.000000,0.000000,0.000000,events/second
1621557639,148,4.803029,0.000000,0.000000,0.000000,events/second
1621557669,148,2.466079,0.000000,0.000000,0.000000,events/second
1621557699,148,1.643207,0.000000,0.000000,0.000000,events/second
1621557729,170,1.416659,0.000000,0.000000,0.000000,events/second
1621557759,170,1.133251,0.000000,0.000000,0.000000,events/second
1621557789,170,0.944380,0.000000,0.000000,0.000000,events/second
1621557819,170,0.809475,0.000000,0.000000,0.000000,events/second
1621557849,170,0.708301,0.000000,0.000000,0.000000,events/second
1621557879,170,0.629610,0.000000,0.000000,0.000000,events/second
1621557909,170,0.566668,0.000000,0.000000,0.000000,events/second
1621557939,170,0.515146,0.000000,0.000000,0.000000,events/second
1621557969,170,0.472213,0.000000,0.000000,0.000000,events/second
1621557999,170,0.435886,0.000000,0.000000,0.000000,events/second
1621558029,170,0.404654,0.000000,0.000000,0.000000,events/second
1621558059,170,0.377767,0.000000,0.000000,0.000000,events/second
1621558089,170,0.354163,0.000000,0.000000,0.000000,events/second
1621558119,170,0.333333,0.000000,0.000000,0.000000,events/second
1621558149,184,0.340739,0.000000,0.000000,0.000000,events/second
1621558179,184,0.322808,0.000000,0.000000,0.000000,events/second
1621558209,184,0.306662,0.000000,0.000000,0.000000,events/second
1621558239,184,0.292048,0.000000,0.000000,0.000000,events/second
1621558269,184,0.278784,0.000000,0.000000,0.000000,events/second
1621558299,184,0.266662,0.000000,0.000000,0.000000,events/second
1621558329,184,0.255554,0.000000,0.000000,0.000000,events/second
1621558359,184,0.245332,0.000000,0.000000,0.000000,events/second
1621558389,184,0.235897,0.000000,0.000000,0.000000,events/second
1621558419,184,0.227161,0.000000,0.000000,0.000000,events/second
1621558449,184,0.219047,0.000000,0.000000,0.000000,events/second
1621558479,184,0.211490,0.000000,0.000000,0.000000,events/second
1621558509,184,0.204442,0.000000,0.000000,0.000000,events/second
1621558539,184,0.197849,0.000000,0.000000,0.000000,events/second
1621558569,184,0.191666,0.000000,0.000000,0.000000,events/second
1621558599,184,0.185859,0.000000,0.000000,0.000000,events/second
1621558629,184,0.180392,0.000000,0.000000,0.000000,events/second
1621558659,184,0.175238,0.000000,0.000000,0.000000,events/second
1621558689,196,0.181480,0.000000,0.000000,0.000000,events/second
1621558719,196,0.176577,0.000000,0.000000,0.000000,events/second
1621558749,196,0.171929,0.000000,0.000000,0.000000,events/second
1621558779,196,0.167520,0.000000,0.000000,0.000000,events/second
1621558809,216,0.180000,0.000000,0.000000,0.000000,events/second
1621558839,216,0.175610,0.000000,0.000000,0.000000,events/second
1621558869,216,0.171429,0.000000,0.000000,0.000000,events/second
1621558899,216,0.167442,0.000000,0.000000,0.000000,events/second
1621558929,216,0.163635,0.000000,0.000000,0.000000,events/second
1621558959,216,0.159998,0.000000,0.000000,0.000000,events/second
1621558989,216,0.156520,0.000000,0.000000,0.000000,events/second
1621559019,216,0.153192,0.000000,0.000000,0.000000,events/second
1621559049,216,0.150000,0.000000,0.000000,0.000000,events/second
1621559079,233,0.158503,0.000000,0.000000,0.000000,events/second
1621559109,233,0.155333,0.000000,0.000000,0.000000,events/second
1621559139,233,0.152287,0.000000,0.000000,0.000000,events/second
1621559169,233,0.149359,0.000000,0.000000,0.000000,events/second
1621559199,233,0.146540,0.000000,0.000000,0.000000,events/second
1621559229,233,0.143826,0.000000,0.000000,0.000000,events/second
1621559259,233,0.141212,0.000000,0.000000,0.000000,events/second
1621559289,233,0.138690,0.000000,0.000000,0.000000,events/second
1621559319,241,0.140936,0.000000,0.000000,0.000000,events/second
