t,value
1621477378,74783128
1621477408,74783128
1621477438,74783128
1621477468,74783128
1621477498,74783128
1621477528,74783128
1621477558,74783128
1621477588,74783128
1621477618,74783128
1621477648,74783128
1621477678,74783128
1621477708,74783128
1621477738,74783128
1621477768,74783128
1621477798,74783128
1621477828,74783128
1621477858,74783128
1621477888,74783128
1621477918,74783128
1621477948,74783128
1621477978,74783128
1621478008,74783128
1621478038,74783128
1621478068,74783128
1621478098,74783128
1621478128,74783128
1621478158,74783128
1621478188,74783128
1621478218,74783128
1621478248,74783128
1621478278,74783128
1621478308,74783128
1621478338,74783128
1621478368,74783128
1621478398,74783128
1621478428,74783128
1621478458,74783128
1621478488,74783128
1621478518,74783128
1621478548,74783128
1621478578,74783128
1621478608,74783128
1621478638,74783128
1621478668,74783128
1621478698,74783128
1621478728,74783128
1621478758,74783128
1621478788,74783128
1621478818,74783128
1621478848,74783128
1621478878,74783128
1621478908,74783128
1621478938,74783128
1621478968,74783128
1621478998,74783128
1621479028,74783128
1621479058,74783128
1621479088,74783128
1621479118,74783128
1621479148,74783128
1621479178,74783128
1621479208,74783128
1621519414,212595824
1621519444,212595824
1621519474,212595824
1621519504,212595824
1621519534,212595824
1621519564,212595824
1621519594,212595824
1621519624,212595824
1621519654,212595824
1621519684,212595824
1621519714,212595824
1621519744,212595824
1621519774,212595824
1621519804,212595824
1621519834,212595824
1621519864,212595824
1621519894,212595824
1621519924,212595824
1621519954,212595824
1621519984,212595824
1621520014,212595824
1621520044,212595824
1621520074,212595824
1621520104,212595824
1621520134,212595824
1621520164,212595824
1621520194,212595824
1621520224,212595824
1621520254,212595824
1621520284,212595824
1621520314,212595824
1621520344,212595824
1621520374,212595824
1621520404,212595824
1621520434,212595824
1621520464,212595824
1621520494,212595824
1621520524,212595824
1621520554,212595824
1621520584,212595824
1621520614,212595824
1621520644,212595824
1621520674,212595824
1621520704,212595824
1621520734,212595824
1621520764,212595824
1621520794,212595824
1621520824,212595824
1621520854,212595824
1621520884,212595824
1621520914,212595824
1621520944,212595824
1621520974,212595824
1621557639,221143200
1621557669,221143200
1621557699,221143200
1621557729,221143200
1621557759,221143200
1621557789,221143200
1621557819,221143200
1621557849,221143200
1621557879,221143200
1621557909,221143200
1621557939,221143200
1621557969,221143200
1621557999,221143200
1621558029,221143200
1621558059,221143200
1621558089,221143200
1621558119,221143200
1621558149,221143200
1621558179,221143200
1621558209,221143200
1621558239,221143200
1621558269,221143200
1621558299,221143200
1621558329,221143200
1621558359,221143200
1621558389,221143200
1621558419,221143200
1621558449,221143200
1621558479,221143200
1621558509,221143200
1621558539,221143200
1621558569,221143200
1621558599,221143200
1621558629,221143200
1621558659,221143200
1621558689,221143200
1621558719,221143200
1621558749,221143200
1621558779,221143200
1621558809,221143200
1621558839,221143200
1621558869,221143200
1621558899,221143200
1621558929,221143200
1621558959,221143200
1621558989,221143200
1621559019,221143200
1621559049,221143200
1621559079,221143200
1621559109,221143200
1621559139,221143200
1621559169,221143200
1621559199,221143200
1621559229,221143200
1621559259,221143200
1621559289,221143200
1621559319,221143200
1621559349,221143200
1621559379,221143200
1621559409,221143200
1621559439,221143200
1621559469,221143200
1621559499,221143200
1621559529,221143200
1621559559,221143200
1621559589,221143200
1621559619,221143200
1621559649,221143200
1621559679,221143200
1621559709,221143200
1621559739,221143200
1621559769,221143200
1621559799,221143200
1621559829,221143200
1621559859,221143200
1621559889,221143200
1621559919,221143200
1621559949,221143200
1621559979,221143200
1621560009,221143200
1621560039,221143200
1621560069,221143200
1621560099,221143200
1621560129,221143200
1621560159,221143200
1621560189,221143200
1621560219,221143200
1621560249,221143200
1621560279,221143200
1621560309,221143200
1621560339,221143200
1621560369,221143200
1621560399,221143200
1621560429,221143200
1621560459,221143200
1621560489,221143200
1621560519,221143200
1621560549,221143200
1621560579,221143200
1621560609,221143200
1621560639,221143200
1621560669,221143200
1621560699,221143200
1621560729,221143200
1621560759,221143200
1621560789,221143200
1621560819,221143200
1621560849,221143200
1621560879,221143200
1621560909,221143200
1621560939,221143200
1621560969,221143200
1621560999,221143200
1621561029,221143200
1621561059,221143200
1621561089,221143200
1621561119,221143200
1621561149,221143200
1621561179,221143200
1621561209,221143200
1621561239,221143200
1621561269,221143200
1621561299,221143200
1621561329,221143200
1621561359,221143200
1621561389,221143200
1621561419,221143200
1621561449,221143200
1621561479,221143200
1621561509,221143200
1621561539,221143200
1621561569,221143200
1621561599,221143200
1621561629,221143200
1621561659,221143200
1621561689,221143200
1621561719,221143200
1621561749,221143200
1621561779,221143200
1621561809,221143200
1621561839,221143200
1621561869,221143200
1621561899,221143200
1621561929,221143200
1621561959,221143200
1621561989,221143200
1621562019,221143200
1621562049,221143200
1621562079,221143200
1621562109,221143200
1621562139,221143200
1621562169,221143200
1621562199,221143200
1621562229,221143200
1621701756,230896128
1621701786,230896128
1621701816,230896128
1621701846,230896128
1621701876,230896128
1621701906,230896128
1621701936,230896128
1621701966,230896128
1621701996,230896128
1621702026,230896128
1621702056,230896128
1621702086,230896128
1621702116,230896128
1621702146,230896128
1621702176,230896128
1621702206,230896128
1621702236,230896128
1621702266,230896128
1621702296,230896128
1621702326,230896128
1621702356,230896128
1621702386,230896128
1621702416,230896128
1621702446,230896128
1621702476,230896128
1621702506,230896128
1621702536,230896128
1621702566,230896128
1621702596,230896128
1621702626,230896128
1621702656,230896128
1621702686,230896128
1621702716,230896128
1621702746,230896128
1621702776,230896128
1621702806,230896128
1621702836,230896128
1621702866,230896128
1621702896,230896128
1621702926,230896128
1621702956,230896128
1621702986,230896128
1621703016,230896128
1621703046,230896128
1621703076,230896128
1621703106,230896128
1621703136,230896128
1621703166,230896128
1621703196,230896128
1621703226,230896128
1621703256,230896128
1621703286,230896128
1621703316,230896128
1621703346,230896128
1621703376,230896128
1621703406,230896128
1621703436,230896128
1621703466,230896128
1621703496,230896128
1621703526,230896128
1621703556,230896128
1621703586,230896128
1621703616,230896128
1621703646,230896128
1621703676,230896128
1621703706,230896128
1621703736,230896128
1621703766,230896128
1621703796,230896128
1621703826,230896128
1621703856,230896128
1621703886,230896128
1621703916,230896128
1621703946,230896128
1621703976,230896128
1621704006,230896128
1621704036,230896128
1621704066,230896128
1621704096,230896128
1621704126,230896128
1621704156,230896128
1621704186,230896128
1621704216,230896128
1621704246,230896128
1621704276,230896128
1621704306,230896128
1621704336,230896128
1621704366,230896128
1621704396,230896128
1621704426,230896128
1621704456,230896128
1621704486,230896128
1621704516,230896128
1621704546,230896128
1621704576,230896128
1621704606,230896128
1621704636,230896128
1621704666,230896128
1621704696,230896128
1621704726,230896128
1621704756,230896128
1621704786,230896128
1621704816,230896128
1621704846,230896128
1621704876,230896128
1621704906,230896128
1621704936,230896128
1621704966,230896128
1621704996,230896128
1621705026,230896128
1621705056,230896128
1621705086,230896128
1621705116,230896128
1621705146,230896128
1621705176,230896128
1621705206,230896128
1621705236,230896128
1621705266,230896128
1621705296,230896128
1621705326,230896128
1621705356,230896128
1621705386,230896128
1621705416,230896128
1621705446,230896128
1621705476,230896128
1621705506,230896128
1621705536,230896128
1621705566,230896128
1621705596,230896128
1621705626,230896128
1621705656,230896128
1621705686,230896128
1621705716,230896128
1621705746,230896128
1621705776,230896128
1621705806,230896128
1621705836,230896128
1621705866,230896128
1621705896,230896128
1621705926,230896128
1621705956,230896128
1621705986,230896128
1621706016,230896128
1621706046,230896128
1621706076,230896128
1621706106,230896128
1621706136,230896128
1621706166,230896128
1621706196,230896128
1621706226,230896128
1621706256,230896128
1621706286,230896128
1621706316,230896128
1621706346,230896128
1621706376,230896128
1621706406,230896128
1621706436,230896128
1621706466,230896128
1621706496,230896128
1621706526,230896128
1621706556,230896128
1621706586,230896128
1621706616,230896128
1621706646,230896128
1621706676,230896128
1621706706,230896128
1621706736,230896128
1621706766,230896128
1621706796,230896128
1621706826,230896128
1621706856,230896128
1621706886,230896128
1621706916,230896128
1621706946,230896128
1621706976,230896128
1621707006,230896128
1621707036,230896128
1621707066,230896128
1621707096,230896128
1621707126,230896128
1621707156,230896128
1621707186,230896128
1621707216,230896128
1621707246,230896128
1621707276,230896128
1621707306,230896128
1621707336,230896128
1621707366,230896128
1621707396,230896128
1621707426,230896128
1621707456,230896128
1621707486,230896128
1621707516,230896128
1621707546,230896128
1621707576,230896128
1621707606,230896128
1621707636,230896128
1621707666,230896128
1621707696,230896128
1621707726,230896128
1621707756,230896128
1621707786,230896128
1621707816,230896128
1621707846,230896128
1621707876,230896128
1621707906,230896128
1621707936,230896128
1621707966,230896128
1621707996,230896128
1621708026,230896128
1621708056,230896128
1621708086,230896128
1621708116,230896128
1621708146,230896128
1621708176,230896128
1621708206,230896128
1621708236,230896128
1621708266,230896128
1621708296,230896128
1621708326,230896128
1621708356,230896128
1621708386,230896128
1621708416,230896128
1621708446,230896128
1621708476,230896128
1621708506,230896128
1621708536,230896128
1621708566,230896128
1621708596,230896128
1621708626,230896128
1621708656,230896128
1621708686,230896128
1621708716,230896128
1621708746,230896128
1621708776,230896128
1621708806,230896128
1621708836,230896128
1621708866,230896128
1621708896,230896128
1621708926,230896128
1621708956,230896128
1621708986,230896128
1621709016,230896128
1621709046,230896128
1621709076,230896128
1621709106,230896128
1621709136,230896128
1621709166,230896128
1621709196,230896128
1621709226,230896128
1621709256,230896128
1621709286,230896128
1621709316,230896128
1621709346,230896128
1621709376,230896128
1621709406,230896128
1621709436,230896128
1621709466,230896128
1621709496,230896128
1621709526,230896128
1621709556,230896128
1621709586,230896128
1621709616,230896128
1621709646,230896128
1621709676,230896128
1621709706,230896128
1621709736,230896128
1621709766,230896128
1621709796,230896128
1621709826,230896128
1621709856,230896128
1621709886,230896128
1621709916,230896128
1621709946,230896128
1621709976,230896128
1621710006,230896128
1621710036,230896128
1621710066,230896128
1621710096,230896128
1621710126,230896128
1621710156,230896128
1621710186,230896128
1621710216,230896128
1621710246,230896128
1621710276,230896128
1621710306,230896128
1621710336,230896128
1621710366,230896128
1621710396,230896128
1621710426,230896128
1621710456,230896128
1621710486,230896128
1621710516,230896128
1621710546,230896128
1621710576,230896128
1621710606,230896128
1621710636,230896128
1621710666,230896128
1621710696,230896128
1621710726,230896128
1621710756,230896128
1621710786,230896128
1621710816,230896128
1621710846,230896128
1621710876,230896128
1621710906,230896128
1621710936,230896128
1621710966,230896128
1621710996,230896128
1621711026,230896128
1621711056,230896128
1621711086,230896128
1621711116,230896128
1621711146,230896128
1621711176,230896128
1621711206,230896128
1621711236,230896128
1621711266,230896128
1621711296,230896128
1621711326,230896128
1621711356,230896128
1621711386,230896128
1621711416,230896128
1621711446,230896128
1621711476,230896128
1621711506,230896128
1621711536,230896128
1621711566,230896128
1621711596,230896128
1621711626,230896128
1621711656,230896128
1621711686,230896128
1621711716,230896128
1621711746,230896128
1621711776,230896128
1621711806,230896128
1621711836,230896128
1621711866,230896128
1621711896,230896128
1621711926,230896128
1621711956,230896128
1621711986,230896128
1621712016,230896128
1621712046,230896128
1621712076,230896128
1621712106,230896128
1621712136,230896128
1621712166,230896128
1621712196,230896128
1621712226,230896128
1621712256,230896128
1621712286,230896128
1621712316,230896128
1621712346,230896128
1621712376,230896128
1621712406,230896128
1621712436,230896128
1621712466,230896128
1621712496,230896128
1621712526,230896128
1621712556,230896128
1621712586,230896128
1621712616,230896128
1621712646,230896128
1621712676,230896128
1621712706,230896128
1621712736,230896128
1621712766,230896128
1621712796,230896128
1621712826,230896128
1621712856,230896128
1621712886,230896128
1621712916,230896128
1621712946,230896128
1621712976,230896128
1621713006,230896128
1621713036,230896128
1621713066,230896128
1621713096,230896128
1621713126,230896128
1621713156,230896128
1621713186,230896128
1621713216,230896128
1621713246,230896128
1621713276,230896128
1621713306,230896128
1621713336,230896128
1621713366,230896128
1621713396,230896128
1621713426,230896128
1621713456,230896128
1621713486,230896128
1621713516,230896128
1621713546,230896128
1621713576,230896128
1621713606,230896128
1621713636,230896128
1621713666,230896128
1621713696,230896128
1621713726,230896128
1621713756,230896128
1621713786,230896128
1621713816,230896128
1621713846,230896128
1621713876,230896128
1621713906,230896128
1621713936,230896128
1621713966,230896128
1621713996,230896128
1621714026,230896128
1621714056,230896128
1621714086,230896128
1621714116,230896128
1621714146,230896128
1621714176,230896128
1621714206,230896128
1621714236,230896128
1621714266,230896128
1621714296,230896128
1621714326,230896128
1621714356,230896128
1621714386,230896128
1621714416,230896128
1621714446,230896128
1621714476,230896128
1621714506,230896128
1621714536,230896128
1621714566,230896128
1621714596,230896128
1621714626,230896128
1621714656,230896128
1621714686,230896128
1621714716,230896128
1621714746,230896128
1621714776,230896128
1621714806,230896128
1621714836,230896128
1621714866,230896128
1621714896,230896128
1621714926,230896128
1621714956,230896128
1621714986,230896128
1621715016,230896128
1621715046,230896128
1621715076,230896128
1621715106,230896128
1621715136,230896128
1621715166,230896128
1621715196,230896128
