t,value
1621477378,8555
1621477408,8491
1621477438,8491
1621477468,8491
1621477498,8491
1621477528,8491
1621477558,8491
1621477588,8491
1621477618,8491
1621477648,8491
1621477678,8491
1621477708,8491
1621477738,8491
1621477768,8491
1621477798,8491
1621477828,8491
1621477858,8491
1621477888,8491
1621477918,8491
1621477948,8491
1621477978,8491
1621478008,8491
1621478038,8491
1621478068,8491
1621478098,8491
1621478128,8491
1621478158,8491
1621478188,8491
1621478218,8491
1621478248,8491
1621478278,8491
1621478308,8491
1621478338,8491
1621478368,8491
1621478398,8491
1621478428,8491
1621478458,8491
1621478488,8491
1621478518,8491
1621478548,8491
1621478578,8491
1621478608,8491
1621478638,8491
1621478668,8491
1621478698,8491
1621478728,8491
1621478758,8491
1621478788,8491
1621478818,8491
1621478848,8491
1621478878,8491
1621478908,8491
1621478938,8491
1621478968,8491
1621478998,8491
1621479028,8491
1621479058,8491
1621479088,8491
1621479118,8491
1621479148,8491
1621479178,8491
1621479208,8491
1621519414,139621
1621519444,139556
1621519474,139556
1621519504,139567
1621519534,139567
1621519564,8492
1621519594,8492
1621519624,8492
1621519654,8492
1621519684,8492
1621519714,8492
1621519744,8492
1621519774,8492
1621519804,8492
1621519834,8492
1621519864,8492
1621519894,8492
1621519924,8492
1621519954,8492
1621519984,8492
1621520014,8492
1621520044,8492
1621520074,8492
1621520104,8492
1621520134,8492
1621520164,8492
1621520194,8492
1621520224,8492
1621520254,8492
1621520284,8492
1621520314,8492
1621520344,8492
1621520374,8492
1621520404,8492
1621520434,8492
1621520464,8492
1621520494,8492
1621520524,8492
1621520554,8492
1621520584,8492
1621520614,8492
1621520644,8492
1621520674,8492
1621520704,8492
1621520734,8492
1621520764,8492
1621520794,8492
1621520824,8492
1621520854,8492
1621520884,8492
1621520914,8492
1621520944,8492
1621520974,8492
1621557639,139621
1621557669,139556
1621557699,139556
1621557729,139556
1621557759,139556
1621557789,139556
1621557819,139556
1621557849,139556
1621557879,139556
1621557909,139556
1621557939,139556
1621557969,139556
1621557999,139556
1621558029,139556
1621558059,139556
1621558089,139556
1621558119,139556
1621558149,139556
1621558179,139556
1621558209,139556
1621558239,139556
1621558269,139556
1621558299,139556
1621558329,139556
1621558359,139556
1621558389,139556
1621558419,139556
1621558449,139556
1621558479,139556
1621558509,139556
1621558539,139556
1621558569,139556
1621558599,139556
1621558629,139556
1621558659,139556
1621558689,139556
1621558719,139556
1621558749,139556
1621558779,139556
1621558809,139556
1621558839,139556
1621558869,139556
1621558899,139556
1621558929,139556
1621558959,139556
1621558989,139556
1621559019,139556
1621559049,139556
1621559079,139556
1621559109,139556
1621559139,139556
1621559169,139556
1621559199,139556
1621559229,139556
1621559259,139556
1621559289,139556
1621559319,139556
1621559349,139556
1621559379,139556
1621559409,139556
1621559439,139556
1621559469,139556
1621559499,139556
1621559529,139556
1621559559,139556
1621559589,139556
1621559619,139556
1621559649,139556
1621559679,139556
1621559709,139556
1621559739,139556
1621559769,139556
1621559799,139556
1621559829,139556
1621559859,139556
1621559889,139556
1621559919,139556
1621559949,139567
1621559979,139567
1621560009,8492
1621560039,8492
1621560069,8492
1621560099,8492
1621560129,8492
1621560159,8492
1621560189,8492
1621560219,8492
1621560249,8492
1621560279,8492
1621560309,8492
1621560339,8492
1621560369,8492
1621560399,8492
1621560429,8492
1621560459,8492
1621560489,8492
1621560519,8492
1621560549,8492
1621560579,8492
1621560609,8492
1621560639,8492
1621560669,8492
1621560699,8492
1621560729,8492
1621560759,8492
1621560789,8492
1621560819,8492
1621560849,8492
1621560879,8492
1621560909,8492
1621560939,8492
1621560969,8492
1621560999,8492
1621561029,8492
1621561059,8492
1621561089,8492
1621561119,8492
1621561149,8492
1621561179,8492
1621561209,8492
1621561239,8492
1621561269,8492
1621561299,8492
1621561329,8492
1621561359,8492
1621561389,8492
1621561419,8492
1621561449,8492
1621561479,8492
1621561509,8492
1621561539,8492
1621561569,8492
1621561599,8492
1621561629,8492
1621561659,8492
1621561689,8492
1621561719,8492
1621561749,8492
1621561779,8492
1621561809,8492
1621561839,8492
1621561869,8492
1621561899,8492
1621561929,8492
1621561959,8492
1621561989,8492
1621562019,8492
1621562049,8492
1621562079,8492
1621562109,8492
1621562139,8492
1621562169,8492
1621562199,8492
1621562229,8492
1621701756,270696
1621701786,139556
1621701816,139556
1621701846,139556
1621701876,139556
1621701906,139556
1621701936,139556
1621701966,139556
1621701996,139556
1621702026,139556
1621702056,139556
1621702086,139556
1621702116,139556
1621702146,139556
1621702176,139556
1621702206,139556
1621702236,139556
1621702266,139556
1621702296,139556
1621702326,139556
1621702356,139556
1621702386,139556
1621702416,139556
1621702446,139556
1621702476,139556
1621702506,139556
1621702536,139556
1621702566,139556
1621702596,139556
1621702626,139556
1621702656,139556
1621702686,139556
1621702716,139556
1621702746,139556
1621702776,139556
1621702806,139556
1621702836,139556
1621702866,139556
1621702896,139556
1621702926,139556
1621702956,139556
1621702986,139556
1621703016,139556
1621703046,139556
1621703076,139556
1621703106,139556
1621703136,139556
1621703166,139556
1621703196,139556
1621703226,139556
1621703256,139556
1621703286,139556
1621703316,139556
1621703346,139556
1621703376,139556
1621703406,139556
1621703436,139556
1621703466,139556
1621703496,139556
1621703526,139556
1621703556,139556
1621703586,139556
1621703616,139556
1621703646,139556
1621703676,139556
1621703706,139556
1621703736,139556
1621703766,139556
1621703796,139556
1621703826,139556
1621703856,139556
1621703886,139556
1621703916,139556
1621703946,139556
1621703976,139556
1621704006,139556
1621704036,139556
1621704066,139556
1621704096,139556
1621704126,139556
1621704156,139556
1621704186,139556
1621704216,139556
1621704246,139556
1621704276,139556
1621704306,139556
1621704336,139556
1621704366,139556
1621704396,139556
1621704426,139556
1621704456,139556
1621704486,139556
1621704516,139556
1621704546,139556
1621704576,139556
1621704606,139556
1621704636,139556
1621704666,139556
1621704696,139556
1621704726,139556
1621704756,139556
1621704786,139556
1621704816,139556
1621704846,139556
1621704876,139556
1621704906,139556
1621704936,139556
1621704966,139556
1621704996,139556
1621705026,139556
1621705056,139556
1621705086,139556
1621705116,139556
1621705146,139556
1621705176,139556
1621705206,139556
1621705236,139556
1621705266,139556
1621705296,139556
1621705326,139556
1621705356,139556
1621705386,139556
1621705416,139556
1621705446,139556
1621705476,139556
1621705506,139556
1621705536,139556
1621705566,139556
1621705596,139556
1621705626,139556
1621705656,139556
1621705686,139556
1621705716,139556
1621705746,139556
1621705776,139556
1621705806,139556
1621705836,139556
1621705866,139556
1621705896,139556
1621705926,139567
1621705956,139567
1621705986,139567
1621706016,139567
1621706046,139556
1621706076,139556
1621706106,139556
1621706136,139556
1621706166,139556
1621706196,139556
1621706226,139556
1621706256,139556
1621706286,139556
1621706316,139556
1621706346,139556
1621706376,139556
1621706406,139556
1621706436,139556
1621706466,139556
1621706496,139556
1621706526,139556
1621706556,139556
1621706586,139556
1621706616,139556
1621706646,139556
1621706676,139556
1621706706,139556
1621706736,139556
1621706766,139556
1621706796,139556
1621706826,139556
1621706856,139556
1621706886,139556
1621706916,139556
1621706946,139556
1621706976,139556
1621707006,139556
1621707036,139556
1621707066,139556
1621707096,139556
1621707126,139556
1621707156,139556
1621707186,139556
1621707216,139556
1621707246,139556
1621707276,139556
1621707306,139556
1621707336,139556
1621707366,139556
1621707396,139556
1621707426,139556
1621707456,139556
1621707486,139556
1621707516,139556
1621707546,139556
1621707576,139556
1621707606,139556
1621707636,139556
1621707666,139567
1621707696,139567
1621707726,8492
1621707756,8492
1621707786,8492
1621707816,8492
1621707846,8492
1621707876,8492
1621707906,8492
1621707936,8492
1621707966,8492
1621707996,8492
1621708026,8492
1621708056,8492
1621708086,8492
1621708116,8492
1621708146,8492
1621708176,8492
1621708206,8492
1621708236,8492
1621708266,8492
1621708296,8492
1621708326,8492
1621708356,8492
1621708386,8492
1621708416,8492
1621708446,8492
1621708476,8492
1621708506,8492
1621708536,8492
1621708566,8492
1621708596,8492
1621708626,8492
1621708656,8492
1621708686,8492
1621708716,8492
1621708746,8492
1621708776,8492
1621708806,8492
1621708836,8492
1621708866,8492
1621708896,8492
1621708926,8492
1621708956,8492
1621708986,8492
1621709016,8492
1621709046,8492
1621709076,8492
1621709106,8492
1621709136,8492
1621709166,8492
1621709196,8492
1621709226,8492
1621709256,8492
1621709286,8492
1621709316,8492
1621709346,8492
1621709376,8492
1621709406,8492
1621709436,8492
1621709466,8492
1621709496,8492
1621709526,8492
1621709556,8492
1621709586,8492
1621709616,8492
1621709646,8492
1621709676,8492
1621709706,8492
1621709736,8492
1621709766,8492
1621709796,8492
1621709826,8492
1621709856,8492
1621709886,8492
1621709916,8492
1621709946,8492
1621709976,8492
1621710006,8492
1621710036,8492
1621710066,8492
1621710096,8492
1621710126,8492
1621710156,8492
1621710186,8492
1621710216,8492
1621710246,8492
1621710276,8492
1621710306,8492
1621710336,8492
1621710366,8492
1621710396,8492
