t,value
1621477378,19922944
1621477408,76546048
1621477438,80740352
1621477468,101711872
1621477498,102760448
1621477528,124780544
1621477558,125829120
1621477588,146800640
1621477618,148897792
1621477648,168820736
1621477678,171966464
1621477708,191889408
1621477738,193986560
1621477768,214958080
1621477798,217055232
1621477828,238026752
1621477858,240123904
1621477888,16777216
1621477918,19922944
1621477948,40894464
1621477978,41943040
1621478008,62914560
1621478038,65011712
1621478068,85983232
1621478098,87031808
1621478128,110100480
1621478158,111149056
1621478188,132120576
1621478218,134217728
1621478248,154140672
1621478278,157286400
1621478308,178257920
1621478338,179306496
1621478368,200278016
1621478398,202375168
1621478428,223346688
1621478458,225443840
1621478488,246415360
1621478518,247463936
1621478548,268435456
1621478578,271581184
1621478608,4194304
1621478638,7340032
1621478668,27262976
1621478698,29360128
1621478728,50331648
1621478758,51380224
1621478788,72351744
1621478818,74448896
1621478848,94371840
1621478878,96468992
1621478908,117440512
1621478938,119537664
1621478968,140509184
1621478998,142606336
1621479028,163577856
1621479058,164626432
1621479088,185597952
1621479118,200278016
1621479148,18874368
1621479178,41943040
1621479208,66060288
1621519414,216006656
1621519444,272629760
1621519474,276824064
1621519504,297795584
1621519534,61865984
1621519564,87031808
1621519594,95420416
1621519624,118489088
1621519654,125829120
1621519684,149946368
1621519714,171966464
1621519744,196083712
1621519774,203423744
1621519804,227540992
1621519834,233832448
1621519864,260046848
1621519894,266338304
1621519924,127926272
1621519954,154140672
1621519984,186646528
1621520014,8388608
1621520044,32505856
1621520074,39845888
1621520104,100663296
1621520134,226492416
1621520164,279969792
1621520194,290455552
1621520224,19922944
1621520254,44040192
1621520284,93323264
1621520314,106954752
1621520344,145752064
1621520374,152043520
1621520404,175112192
1621520434,182452224
1621520464,205520896
1621520494,223346688
1621520524,246415360
1621520554,253755392
1621520584,276824064
1621520614,284164096
1621520644,308281344
1621520674,1048576
1621520704,60817408
1621520734,67108864
1621520764,90177536
1621520794,97517568
1621520824,120586240
1621520854,127926272
1621520884,163577856
1621520914,175112192
1621520944,288358400
1621520974,294649856
1621557639,220200960
1621557669,277872640
1621557699,291504128
1621557729,90177536
1621557759,97517568
1621557789,121634816
1621557819,128974848
1621557849,153092096
1621557879,174063616
1621557909,198180864
1621557939,205520896
1621557969,229638144
1621557999,235929600
1621558029,260046848
1621558059,266338304
1621558089,291504128
1621558119,298844160
1621558149,17825792
1621558179,25165824
1621558209,51380224
1621558239,58720256
1621558269,82837504
1621558299,89128960
1621558329,113246208
1621558359,119537664
1621558389,144703488
1621558419,150994944
1621558449,176160768
1621558479,185597952
1621558509,209715200
1621558539,216006656
1621558569,240123904
1621558599,246415360
1621558629,270532608
1621558659,274726912
1621558689,254803968
1621558719,258998272
1621558749,285212672
1621558779,290455552
1621558809,16777216
1621558839,22020096
1621558869,49283072
1621558899,103809024
1621558929,175112192
1621558959,179306496
1621558989,206569472
1621559019,210763776
1621559049,282066944
1621559079,19922944
1621559109,65011712
1621559139,134217728
1621559169,160432128
1621559199,164626432
1621559229,208666624
1621559259,212860928
1621559289,283115520
1621559319,44040192
1621559349,100663296
1621559379,104857600
1621559409,141557760
1621559439,146800640
1621559469,173015040
1621559499,177209344
1621559529,217055232
1621559559,222298112
1621559589,267386880
1621559619,272629760
1621559649,305135616
1621559679,13631488
1621559709,39845888
1621559739,112197632
1621559769,207618048
1621559799,220200960
1621559829,254803968
1621559859,260046848
1621559889,306184192
1621559919,14680064
1621559949,51380224
1621559979,71303168
1621560009,98566144
1621560039,111149056
1621560069,189792256
1621560099,223346688
1621560129,298844160
1621560159,22020096
1621560189,52428800
1621560219,239075328
1621560249,265289728
1621560279,269484032
1621560309,306184192
1621560339,0
1621560369,27262976
1621560399,44040192
1621560429,70254592
1621560459,81788928
1621560489,146800640
1621560519,150994944
1621560549,177209344
1621560579,217055232
1621560609,247463936
1621560639,251658240
1621560669,277872640
1621560699,282066944
1621560729,67108864
1621560759,71303168
1621560789,98566144
1621560819,105906176
1621560849,138412032
1621560879,162529280
1621560909,196083712
1621560939,240123904
1621560969,145752064
1621560999,155189248
1621561029,211812352
1621561059,221249536
1621561089,265289728
1621561119,285212672
1621561149,17825792
1621561179,25165824
1621561209,63963136
1621561239,242221056
1621561269,266338304
1621561299,273678336
1621561329,38797312
1621561359,77594624
1621561389,1048576
1621561419,8388608
1621561449,31457280
1621561479,42991616
1621561509,241172480
1621561539,260046848
1621561569,284164096
1621561599,290455552
1621561629,16777216
1621561659,25165824
1621561689,49283072
1621561719,56623104
1621561749,79691776
1621561779,85983232
1621561809,110100480
1621561839,117440512
1621561869,140509184
1621561899,147849216
1621561929,170917888
1621561959,177209344
1621561989,201326592
1621562019,207618048
1621562049,231735296
1621562079,239075328
1621562109,272629760
1621562139,278921216
1621562169,5242880
1621562199,12582912
1621562229,35651584
1621701756,284164096
1621701786,34603008
1621701816,40894464
1621701846,82837504
1621701876,148897792
1621701906,92274688
1621701936,97517568
1621701966,63963136
1621701996,68157440
1621702026,95420416
