t,value
1621477378,50170184
1621477408,50170184
1621477438,50170184
1621477468,50170184
1621477498,50170184
1621477528,50170184
1621477558,50170184
1621477588,50170184
1621477618,50170184
1621477648,50170184
1621477678,50170184
1621477708,50170184
1621477738,50170184
1621477768,50170184
1621477798,50170184
1621477828,50170184
1621477858,50170184
1621477888,50535024
1621477918,50535024
1621477948,50535024
1621477978,50535024
1621478008,50535024
1621478038,50535024
1621478068,50535024
1621478098,50535024
1621478128,50535024
1621478158,50535024
1621478188,50535024
1621478218,50535024
1621478248,50535024
1621478278,50535024
1621478308,50535024
1621478338,50535024
1621478368,50535024
1621478398,50535024
1621478428,50535024
1621478458,50535024
1621478488,50535024
1621478518,50535024
1621478548,50535024
1621478578,50535024
1621478608,50127920
1621478638,50127920
1621478668,50127920
1621478698,50127920
1621478728,50127920
1621478758,50127920
1621478788,50127920
1621478818,50127920
1621478848,50127920
1621478878,50127920
1621478908,50127920
1621478938,50127920
1621478968,50127920
1621478998,50127920
1621479028,50127920
1621479058,50127920
1621479088,50127920
1621479118,50127920
1621479148,50598144
1621479178,50598144
1621479208,50598144
1621519414,47519568
1621519444,47519568
1621519474,47519568
1621519504,47519568
1621519534,47113672
1621519564,47113672
1621519594,47113672
1621519624,47113672
1621519654,47113672
1621519684,47113672
1621519714,47113672
1621519744,47113672
1621519774,47113672
1621519804,47113672
1621519834,47113672
1621519864,47113672
1621519894,47113672
1621519924,64272128
1621519954,64272128
1621519984,64272128
1621520014,48389184
1621520044,48389184
1621520074,48389184
1621520104,48389184
1621520134,48389184
1621520164,48389184
1621520194,48389184
1621520224,61147648
1621520254,61147648
1621520284,61147648
1621520314,61147648
1621520344,61147648
1621520374,61147648
1621520404,61147648
1621520434,61147648
1621520464,61147648
1621520494,61147648
1621520524,61147648
1621520554,61147648
1621520584,61147648
1621520614,61147648
1621520644,61147648
1621520674,61134688
1621520704,61134688
1621520734,61134688
1621520764,61134688
1621520794,61134688
1621520824,61134688
1621520854,61134688
