t,value
1621477378,75
1621477408,70
1621477438,68
1621477468,68
1621477498,68
1621477528,68
1621477558,69
1621477588,69
1621477618,68
1621477648,68
1621477678,68
1621477708,68
1621477738,68
1621477768,68
1621477798,68
1621477828,68
1621477858,68
1621477888,68
1621477918,68
1621477948,68
1621477978,68
1621478008,68
1621478038,68
1621478068,68
1621478098,68
1621478128,70
1621478158,70
1621478188,70
1621478218,70
1621478248,70
1621478278,71
1621478308,71
1621478338,71
1621478368,71
1621478398,71
1621478428,71
1621478458,71
1621478488,71
1621478518,71
1621478548,71
1621478578,71
1621478608,71
1621478638,71
1621478668,71
1621478698,71
1621478728,71
1621478758,71
1621478788,71
1621478818,71
1621478848,71
1621478878,71
1621478908,71
1621478938,71
1621478968,72
1621478998,72
1621479028,71
1621479058,71
1621479088,71
1621479118,71
1621479148,72
1621479178,72
1621479208,72
1621519414,66
1621519444,64
1621519474,65
1621519504,66
1621519534,77
1621519564,76
1621519594,76
1621519624,76
1621519654,76
1621519684,75
1621519714,75
1621519744,75
1621519774,74
1621519804,74
1621519834,73
1621519864,73
1621519894,73
1621519924,72
1621519954,72
1621519984,72
1621520014,72
1621520044,72
1621520074,71
1621520104,71
1621520134,71
1621520164,71
1621520194,70
1621520224,70
1621520254,70
1621520284,70
1621520314,70
1621520344,70
1621520374,70
1621520404,70
1621520434,70
1621520464,70
1621520494,70
1621520524,70
1621520554,70
1621520584,70
1621520614,70
1621520644,70
1621520674,70
1621520704,70
1621520734,70
1621520764,70
1621520794,70
1621520824,70
1621520854,70
1621520884,70
1621520914,70
1621520944,70
1621520974,70
1621557639,65
1621557669,63
1621557699,69
1621557729,73
1621557759,73
1621557789,73
1621557819,73
1621557849,71
1621557879,71
1621557909,71
1621557939,71
1621557969,71
1621557999,71
1621558029,71
1621558059,71
1621558089,71
1621558119,71
1621558149,71
1621558179,71
1621558209,71
1621558239,71
1621558269,71
1621558299,71
1621558329,71
1621558359,71
1621558389,71
1621558419,71
1621558449,71
1621558479,71
1621558509,71
1621558539,71
1621558569,71
1621558599,71
1621558629,71
1621558659,71
1621558689,71
1621558719,71
1621558749,71
1621558779,71
1621558809,71
1621558839,71
1621558869,71
1621558899,71
1621558929,71
1621558959,71
1621558989,71
1621559019,71
1621559049,71
1621559079,71
1621559109,71
1621559139,71
1621559169,71
1621559199,71
1621559229,71
1621559259,71
1621559289,71
1621559319,71
1621559349,71
1621559379,71
1621559409,71
1621559439,71
1621559469,71
1621559499,71
1621559529,71
1621559559,71
1621559589,71
1621559619,71
1621559649,71
1621559679,71
1621559709,71
1621559739,71
1621559769,71
1621559799,71
1621559829,71
1621559859,71
1621559889,71
1621559919,71
1621559949,72
1621559979,72
1621560009,71
1621560039,71
1621560069,71
1621560099,71
1621560129,71
1621560159,71
1621560189,71
1621560219,71
1621560249,71
1621560279,71
1621560309,71
1621560339,71
1621560369,71
1621560399,71
1621560429,71
1621560459,71
1621560489,71
1621560519,71
1621560549,71
1621560579,71
1621560609,71
1621560639,71
1621560669,71
1621560699,71
1621560729,71
1621560759,71
1621560789,71
1621560819,71
1621560849,71
1621560879,71
1621560909,71
1621560939,71
1621560969,71
1621560999,71
1621561029,71
1621561059,71
1621561089,71
1621561119,71
1621561149,71
1621561179,71
1621561209,71
1621561239,71
1621561269,71
1621561299,73
1621561329,73
1621561359,73
1621561389,73
1621561419,73
1621561449,73
1621561479,73
1621561509,73
1621561539,73
1621561569,73
1621561599,73
1621561629,73
1621561659,73
1621561689,73
1621561719,73
1621561749,73
1621561779,73
1621561809,73
1621561839,73
1621561869,73
1621561899,73
1621561929,73
1621561959,73
1621561989,73
1621562019,73
1621562049,73
1621562079,73
1621562109,73
1621562139,73
1621562169,73
1621562199,73
1621562229,73
1621701756,74
1621701786,71
1621701816,71
1621701846,71
1621701876,71
1621701906,71
1621701936,71
1621701966,72
1621701996,72
1621702026,72
1621702056,72
1621702086,72
1621702116,72
1621702146,72
1621702176,72
1621702206,72
1621702236,72
1621702266,72
1621702296,72
1621702326,72
1621702356,72
1621702386,72
1621702416,72
1621702446,72
1621702476,72
1621702506,72
1621702536,72
1621702566,72
1621702596,72
1621702626,72
1621702656,72
1621702686,72
1621702716,72
1621702746,72
1621702776,72
1621702806,72
1621702836,72
1621702866,72
1621702896,72
1621702926,72
1621702956,72
1621702986,72
1621703016,72
1621703046,72
1621703076,72
1621703106,72
1621703136,72
1621703166,72
1621703196,72
1621703226,72
1621703256,72
1621703286,72
1621703316,72
1621703346,72
1621703376,72
1621703406,72
1621703436,72
1621703466,72
1621703496,72
1621703526,72
1621703556,72
1621703586,72
1621703616,72
1621703646,72
1621703676,72
1621703706,72
1621703736,72
1621703766,72
1621703796,72
1621703826,72
1621703856,72
1621703886,72
1621703916,72
1621703946,72
1621703976,72
1621704006,72
1621704036,72
1621704066,72
1621704096,72
1621704126,72
1621704156,72
1621704186,72
1621704216,72
1621704246,72
1621704276,72
1621704306,72
1621704336,72
1621704366,72
1621704396,72
1621704426,72
1621704456,72
1621704486,72
1621704516,72
1621704546,72
1621704576,72
1621704606,72
1621704636,72
1621704666,72
1621704696,72
1621704726,72
1621704756,72
1621704786,72
1621704816,72
1621704846,72
1621704876,72
1621704906,72
1621704936,72
1621704966,72
1621704996,72
1621705026,72
1621705056,72
1621705086,72
1621705116,73
1621705146,73
1621705176,73
1621705206,73
1621705236,73
1621705266,73
1621705296,73
1621705326,73
1621705356,73
1621705386,73
1621705416,73
1621705446,73
1621705476,73
1621705506,73
1621705536,73
1621705566,73
1621705596,73
1621705626,73
1621705656,73
1621705686,73
1621705716,73
1621705746,73
1621705776,73
1621705806,73
1621705836,73
1621705866,73
1621705896,73
1621705926,74
1621705956,74
1621705986,74
1621706016,74
1621706046,73
1621706076,73
1621706106,73
1621706136,73
1621706166,73
1621706196,73
1621706226,73
1621706256,73
1621706286,73
1621706316,73
1621706346,73
1621706376,73
1621706406,73
1621706436,73
1621706466,73
1621706496,73
1621706526,73
1621706556,73
1621706586,73
1621706616,73
1621706646,73
1621706676,73
1621706706,73
1621706736,73
1621706766,73
1621706796,73
1621706826,73
1621706856,73
1621706886,73
1621706916,73
1621706946,73
1621706976,73
1621707006,73
1621707036,73
1621707066,73
1621707096,73
1621707126,73
1621707156,73
1621707186,73
1621707216,73
1621707246,73
1621707276,73
1621707306,73
1621707336,73
1621707366,73
1621707396,73
1621707426,73
1621707456,73
1621707486,73
1621707516,73
1621707546,73
1621707576,73
1621707606,73
1621707636,73
1621707666,74
1621707696,74
1621707726,73
1621707756,73
1621707786,73
